"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1737781596","x1323833273592721408",2020-11-04 03:43:42,"StephenQ3340","“THEY CAN GO TO HELL AND GET A JOB” - says @TTuberville quoting comment about liberal Americans influencing Alabama election. Tuberville’s tone has not changed in his victory speech. @abc3340 #alpolitics #Election2020","Twitter for iPhone",217,,,,FALSE,FALSE,0,0,,,"alpolitics Election2020",,,,,,,,,,,,,"x110798061 x13265132","TTuberville abc3340","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/92220986b9dfd67d.json","Birmingham","Birmingham, AL","city","United States","US","NA NA","NA NA","-86.967333 -86.620501 -86.620501 -86.967333 33.405025 33.405025 33.67945 33.67945","https://twitter.com/StephenQ3340/status/1323833273592721408","Stephen Quinn","Birmingham, AL","@abc3340 Anchor/Reporter | @OleMissRebels alum | #DMV Raised | <U+0001F4E7> squinn@sbgtv.com","https://t.co/EGJn6NQNFU",FALSE,3552,887,83,7545,2531,2013-09-06 22:16:11,TRUE,"https://t.co/EGJn6NQNFU","http://abc3340.com/station/people/stephen-quinn",,"https://pbs.twimg.com/profile_banners/1737781596/1573181926","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/642393270048432128/NwevKOs3_normal.jpg"
"x1737781596","x1323831354946162690",2020-11-04 03:36:05,"StephenQ3340","“IT’S TIME TO GO HOME” - @TTuberville says to @DougJones in victory speech. Jones supporters are not seeing his remarks. @abc3340 #alpolitics #Election2020 https://t.co/v8KxbRLYhH","Twitter for iPhone",155,,,,FALSE,FALSE,20,4,,,"alpolitics Election2020",,,,,"http://pbs.twimg.com/media/El8xmUDXYAE0nWm.jpg","https://t.co/v8KxbRLYhH","https://twitter.com/StephenQ3340/status/1323831354946162690/photo/1","photo","http://pbs.twimg.com/media/El8xmUDXYAE0nWm.jpg","https://t.co/v8KxbRLYhH","https://twitter.com/StephenQ3340/status/1323831354946162690/photo/1",,"x110798061 x239548513 x13265132","TTuberville DougJones abc3340","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/92220986b9dfd67d.json","Birmingham","Birmingham, AL","city","United States","US","NA NA","NA NA","-86.967333 -86.620501 -86.620501 -86.967333 33.405025 33.405025 33.67945 33.67945","https://twitter.com/StephenQ3340/status/1323831354946162690","Stephen Quinn","Birmingham, AL","@abc3340 Anchor/Reporter | @OleMissRebels alum | #DMV Raised | <U+0001F4E7> squinn@sbgtv.com","https://t.co/EGJn6NQNFU",FALSE,3552,887,83,7545,2531,2013-09-06 22:16:11,TRUE,"https://t.co/EGJn6NQNFU","http://abc3340.com/station/people/stephen-quinn",,"https://pbs.twimg.com/profile_banners/1737781596/1573181926","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/642393270048432128/NwevKOs3_normal.jpg"
"x1737781596","x1323792331313606661",2020-11-04 01:01:01,"StephenQ3340","HAPPENING NOW: Polls have officially closed in Alabama. Remember if you are in line you can still vote! @abc3340 #alpolitics #Elections2020","TweetDeck",139,,,,FALSE,FALSE,16,3,,,"alpolitics Elections2020",,,,,,,,,,,,,"x13265132","abc3340","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/StephenQ3340/status/1323792331313606661","Stephen Quinn","Birmingham, AL","@abc3340 Anchor/Reporter | @OleMissRebels alum | #DMV Raised | <U+0001F4E7> squinn@sbgtv.com","https://t.co/EGJn6NQNFU",FALSE,3552,887,83,7545,2531,2013-09-06 22:16:11,TRUE,"https://t.co/EGJn6NQNFU","http://abc3340.com/station/people/stephen-quinn",,"https://pbs.twimg.com/profile_banners/1737781596/1573181926","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/642393270048432128/NwevKOs3_normal.jpg"
"x1737781596","x1323817764851691521",2020-11-04 02:42:05,"StephenQ3340","UPDATE: Numbers from @ABC showing @TTuberville with a roughly 10% lead over @DougJones including a healthy lead in Madison County. Still no votes reported from Shelby/Mobile/Baldwin counties. @abc3340 @mynbc15 #alpolitics #Elections2020 https://t.co/wEp4GW9q2P","TweetDeck",236,,,,FALSE,FALSE,21,3,,,"alpolitics Elections2020",,,,,"http://pbs.twimg.com/media/El8kl3wXYAA9cvv.jpg","https://t.co/wEp4GW9q2P","https://twitter.com/StephenQ3340/status/1323817764851691521/photo/1","photo","http://pbs.twimg.com/media/El8kl3wXYAA9cvv.jpg","https://t.co/wEp4GW9q2P","https://twitter.com/StephenQ3340/status/1323817764851691521/photo/1",,"x28785486 x110798061 x239548513 x13265132 x40296265","ABC TTuberville DougJones abc3340 mynbc15","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/StephenQ3340/status/1323817764851691521","Stephen Quinn","Birmingham, AL","@abc3340 Anchor/Reporter | @OleMissRebels alum | #DMV Raised | <U+0001F4E7> squinn@sbgtv.com","https://t.co/EGJn6NQNFU",FALSE,3552,887,83,7545,2531,2013-09-06 22:16:11,TRUE,"https://t.co/EGJn6NQNFU","http://abc3340.com/station/people/stephen-quinn",,"https://pbs.twimg.com/profile_banners/1737781596/1573181926","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/642393270048432128/NwevKOs3_normal.jpg"
"x1737781596","x1323825867555037189",2020-11-04 03:14:16,"StephenQ3340","BREAKING: @AP projects former Auburn head coach @TTuberville has defeated incumbent @DougJones in Alabama. @abc3340 #alpolitics #Elections2020 https://t.co/V1kRMvUOJ8","TweetDeck",142,,,,FALSE,FALSE,58,7,,,"alpolitics Elections2020",,,,,"http://pbs.twimg.com/media/El8slm3XgAAmZLe.jpg","https://t.co/V1kRMvUOJ8","https://twitter.com/StephenQ3340/status/1323825867555037189/photo/1","photo","http://pbs.twimg.com/media/El8slm3XgAAmZLe.jpg","https://t.co/V1kRMvUOJ8","https://twitter.com/StephenQ3340/status/1323825867555037189/photo/1",,"x51241574 x110798061 x239548513 x13265132","AP TTuberville DougJones abc3340","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/StephenQ3340/status/1323825867555037189","Stephen Quinn","Birmingham, AL","@abc3340 Anchor/Reporter | @OleMissRebels alum | #DMV Raised | <U+0001F4E7> squinn@sbgtv.com","https://t.co/EGJn6NQNFU",FALSE,3552,887,83,7545,2531,2013-09-06 22:16:11,TRUE,"https://t.co/EGJn6NQNFU","http://abc3340.com/station/people/stephen-quinn",,"https://pbs.twimg.com/profile_banners/1737781596/1573181926","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/642393270048432128/NwevKOs3_normal.jpg"
"x1737781596","x1323756803386232833",2020-11-03 22:39:50,"StephenQ3340","WATCH: @DougJones campaign banking on Alabamians willing to split their ballot. Will it happen? @abc3340 #alpolitics #Elections2020 https://t.co/b4YSntRTX4","TweetDeck",131,,,,FALSE,FALSE,10,2,,,"alpolitics Elections2020",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1323756093017853953/pu/img/GmS6r2vHMKmJkfso.jpg","https://t.co/b4YSntRTX4","https://twitter.com/StephenQ3340/status/1323756803386232833/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1323756093017853953/pu/img/GmS6r2vHMKmJkfso.jpg","https://t.co/b4YSntRTX4","https://twitter.com/StephenQ3340/status/1323756803386232833/video/1",,"x239548513 x13265132","DougJones abc3340","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/StephenQ3340/status/1323756803386232833","Stephen Quinn","Birmingham, AL","@abc3340 Anchor/Reporter | @OleMissRebels alum | #DMV Raised | <U+0001F4E7> squinn@sbgtv.com","https://t.co/EGJn6NQNFU",FALSE,3552,887,83,7545,2531,2013-09-06 22:16:11,TRUE,"https://t.co/EGJn6NQNFU","http://abc3340.com/station/people/stephen-quinn",,"https://pbs.twimg.com/profile_banners/1737781596/1573181926","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/642393270048432128/NwevKOs3_normal.jpg"
"x1402214563","x1323833192676315136",2020-11-04 03:43:23,"joshnewton459","@FambroMedia @TTuberville True words when it comes to #alpolitics","Twitter for iPhone",39,"x1323832515841400834","x978760483313475584","FambroMedia",FALSE,FALSE,0,0,,,"alpolitics",,,,,,,,,,,,,"x978760483313475584 x110798061","FambroMedia TTuberville","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/joshnewton459/status/1323833192676315136","Josh Newton","Roaming NE & Central Alabama","Mediocre introvert on the path to dis-enlightenment. *retweets & posts R mine. Friends, family work don't necessarily (ever) feel same way. Former TVNews photog",,FALSE,167,519,2,1201,3162,2013-05-04 12:30:19,FALSE,,,,"https://pbs.twimg.com/profile_banners/1402214563/1408809515","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/881870722972479488/McAKGuXS_normal.jpg"
"x539665155","x1323820405942030337",2020-11-04 02:52:34,"lyman_brian","And big news here from @KristaJ1993. Montgomery County voters appear to have approved a property tax increase to provide needed funding to city schools. #alpolitics https://t.co/T3vD7x4Fno","Twitter Web App",164,,,,TRUE,FALSE,25,0,,,"alpolitics",,"twitter.com/KristaJ1993/st…","https://t.co/T3vD7x4Fno","https://twitter.com/KristaJ1993/status/1323819917376892930",,,,,,,,,"x1651770090","KristaJ1993","en","x1323819917376892930","The increase will provide an additional $33 million to MPS, increasing their millage rate from the state mandated minimum of 10 mills up to 22 mills.
https://t.co/6jxLtBO1RA",2020-11-04 02:50:38,"Twitter Web App",16,4,"x1651770090","KristaJ1993","Krista Johnson",757,1039,2869,"Montgomery, AL","Native Iowan covering education for @mgmadvertiser Retweeting things I find weird, offensive and awesome. Have a story tip? Email kristajohnson563@gmail.com",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lyman_brian/status/1323820405942030337","Brian Lyman","Montgomery AL","Well-traveled state government reporter for the @MGMAdvertiser. Podcaster, @BecomingLincoln. Posting politics & science stuff. blyman -at- gannett -dot- com","https://t.co/LIJQAmVgF6",FALSE,13261,877,495,74755,11468,2012-03-29 02:13:47,TRUE,"https://t.co/LIJQAmVgF6","http://www.montgomeryadvertiser.com",,"https://pbs.twimg.com/profile_banners/539665155/1519508226","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1187465044759666688/k_9RHboB_normal.jpg"
"x539665155","x1323795322599071745",2020-11-04 01:12:54,"lyman_brian","Another election we're watching. If approved, Amendment 4 would start a process that could purge racist language out of the Alabama Constitution. Two previous attempts have failed, but this third attempt didn't attract the same contention. https://t.co/c8xIKvWXtw #alpolitics","Twitter Web App",275,,,,FALSE,FALSE,6,2,,,"alpolitics",,"montgomeryadvertiser.com/story/news/pol…","https://t.co/c8xIKvWXtw","https://www.montgomeryadvertiser.com/story/news/politics/2020/10/21/amendment-4-alabama-constitution-2020-purge-racist-language/3711208001/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lyman_brian/status/1323795322599071745","Brian Lyman","Montgomery AL","Well-traveled state government reporter for the @MGMAdvertiser. Podcaster, @BecomingLincoln. Posting politics & science stuff. blyman -at- gannett -dot- com","https://t.co/LIJQAmVgF6",FALSE,13261,877,495,74755,11468,2012-03-29 02:13:47,TRUE,"https://t.co/LIJQAmVgF6","http://www.montgomeryadvertiser.com",,"https://pbs.twimg.com/profile_banners/539665155/1519508226","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1187465044759666688/k_9RHboB_normal.jpg"
"x539665155","x1323832333754138624",2020-11-04 03:39:58,"lyman_brian","Pence: ""Thank you for delivering a great victory for Donald Trump and thank you for sending a great new senator to Washington DC."" #alpolitics #ALSEN","Twitter Web App",149,"x1323832044280045578","x539665155","lyman_brian",FALSE,FALSE,1,0,,,"alpolitics ALSEN",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lyman_brian/status/1323832333754138624","Brian Lyman","Montgomery AL","Well-traveled state government reporter for the @MGMAdvertiser. Podcaster, @BecomingLincoln. Posting politics & science stuff. blyman -at- gannett -dot- com","https://t.co/LIJQAmVgF6",FALSE,13261,877,495,74755,11468,2012-03-29 02:13:47,TRUE,"https://t.co/LIJQAmVgF6","http://www.montgomeryadvertiser.com",,"https://pbs.twimg.com/profile_banners/539665155/1519508226","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1187465044759666688/k_9RHboB_normal.jpg"
