"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1250080494831554568","x1323731356153622533",2020-11-03 20:58:43,"CallMollie","@chrislhayes @GregForMontana Probs not... He is the wrong Steve for the position #bullockforsenate #mtpol","Twitter for iPhone",76,"x1323709249688608769","x4207961","chrislhayes",FALSE,FALSE,1,0,,,"bullockforsenate mtpol",,,,,,,,,,,,,"x4207961 x3420965229","chrislhayes GregForMontana","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CallMollie/status/1323731356153622533","Mollie Call","Bozeman, MT","Bikes / skis / cats / dags / yarn / MT",,FALSE,28,260,1,308,1073,2020-04-14 15:18:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/1250080494831554568/1592185031",,"http://pbs.twimg.com/profile_images/1322673313508782080/S2ajf3kG_normal.jpg"
"x2560037904","x1323707398159130624",2020-11-03 19:23:31,"seamusdd","#BullockForSenate #mtpol https://t.co/sUCLzea9cD","Twitter for iPhone",24,,,,TRUE,FALSE,0,0,,,"BullockForSenate mtpol",,"twitter.com/stevebullockmt…","https://t.co/sUCLzea9cD","https://twitter.com/stevebullockmt/status/1323707129715290113",,,,,,,,,,,"und","x1323707129715290113","You deserve to have your voice heard in this election. 

If you run into any issues while casting your vote, a team of voting rights experts are standing by. https://t.co/fQF97zbftj",2020-11-03 19:22:27,"Twitter for iPhone",216,66,"x1235630338875052034","stevebullockmt","Steve Bullock",54245,180,712,"Montana","Montana born & raised. Husband. Dad of 3. MT Governor. Running for US Senate. It's time to make Washington work like Montana. Text BULLOCK to 30200 to join us.",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/seamusdd/status/1323707398159130624","Jim Driscoll","Montana, USA","Born in MA now the 406 ""Last Best Place"". I HELP Seniors & Vet’s access to affordable quality healthcare. #RidingWithBiden #Biden2020 #mtpol",,FALSE,629,1751,1,9328,34097,2014-06-10 22:47:03,FALSE,,,,"https://pbs.twimg.com/profile_banners/2560037904/1584021505","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1318240832340717568/4I2r7iWG_normal.jpg"
"x2201777058","x1323643105086595074",2020-11-03 15:08:03,"406Shann1","@SteveDaines @uhaul you might want to send some boxes, packing tape and bubble wrap to the Daines family

#bullockforsenate #bullock2020 #packyourshitandgetout","Twitter for iPhone",146,"x1323624499963596802","x11651202","SteveDaines",FALSE,FALSE,16,1,,,"bullockforsenate bullock2020 packyourshitandgetout",,,,,,,,,,,,,"x11651202 x53150802","SteveDaines uhaul","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/406Shann1/status/1323643105086595074","406NastyWoman","Montana, USA","Live your life like a monkey with a new banana. <U+2764> MT summers, the Griz and the 49ers. #faithfulista",,FALSE,752,768,1,16432,82609,2013-11-18 18:38:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/2201777058/1574950206","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1313148554798534656/Cq8fw7ZC_normal.jpg"
"x2201777058","x1321965892767412224",2020-10-30 00:03:24,"406Shann1","Day 2 of knocking on doors for @MTDems complete. I was lucky to have great weather &amp; everyone was really nice again. I didn't knock on the door with the Trump flag, I'm not as brave as @BillyMcWillia12 is! <U+0001F600>
#mtpol #mtdems #cooneyforgovernor #bullockforsenate #kathleenformontana","Twitter for iPhone",283,,,,FALSE,FALSE,30,2,,,"mtpol mtdems cooneyforgovernor bullockforsenate kathleenformontana",,,,,,,,,,,,,"x191988919 x1253715317311696896","MTDems BillyMcWillia12","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/406Shann1/status/1321965892767412224","406NastyWoman","Montana, USA","Live your life like a monkey with a new banana. <U+2764> MT summers, the Griz and the 49ers. #faithfulista",,FALSE,752,768,1,16432,82609,2013-11-18 18:38:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/2201777058/1574950206","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1313148554798534656/Cq8fw7ZC_normal.jpg"
"x2201777058","x1321853414016311296",2020-10-29 16:36:27,"406Shann1","@stevebullockmt I'm knocking on doors for you today. #bullockforsenate #DUMPDAINES2020","Twitter for iPhone",70,"x1321840268539092993","x1235630338875052034","stevebullockmt",FALSE,FALSE,10,1,,,"bullockforsenate DUMPDAINES2020",,,,,,,,,,,,,"x1235630338875052034","stevebullockmt","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/406Shann1/status/1321853414016311296","406NastyWoman","Montana, USA","Live your life like a monkey with a new banana. <U+2764> MT summers, the Griz and the 49ers. #faithfulista",,FALSE,752,768,1,16432,82609,2013-11-18 18:38:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/2201777058/1574950206","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1313148554798534656/Cq8fw7ZC_normal.jpg"
"x2201777058","x1320869419107512320",2020-10-26 23:26:24,"406Shann1","@dotdash1961 @stevebullockmt It was awesome to see you Dan and really good to catch up. I'm so glad I'm gonna sign up to knock on doors for the last week!

#bullockforsenate #Mtsen #mtpol","Twitter for iPhone",158,"x1320856671384707072","x52242766","dotdash1961",FALSE,FALSE,6,0,,,"bullockforsenate Mtsen mtpol",,,,,,,,,,,,,"x52242766 x1235630338875052034","dotdash1961 stevebullockmt","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/406Shann1/status/1320869419107512320","406NastyWoman","Montana, USA","Live your life like a monkey with a new banana. <U+2764> MT summers, the Griz and the 49ers. #faithfulista",,FALSE,752,768,1,16432,82609,2013-11-18 18:38:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/2201777058/1574950206","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1313148554798534656/Cq8fw7ZC_normal.jpg"
"x55494611","x1323475436349779968",2020-11-03 04:01:47,"ckallay","This was posted at a local bank atm in Ronan Montana.  As a native woman,  I'm feeling unsafe and unsure about what tomorrow and the days to come hold.  And a little scared.
#BidenHarris2020 #BullockforSenate #mtpol 
#Indigenous #GetthisBSoffmyRez https://t.co/RIe9wcif2H","Twitter for Android",247,,,,FALSE,FALSE,1,1,,,"BidenHarris2020 BullockforSenate mtpol Indigenous GetthisBSoffmyRez",,,,,"http://pbs.twimg.com/media/El3t5TvU0AAFie5.jpg","https://t.co/RIe9wcif2H","https://twitter.com/ckallay/status/1323475436349779968/photo/1","photo","http://pbs.twimg.com/media/El3t5TvU0AAFie5.jpg","https://t.co/RIe9wcif2H","https://twitter.com/ckallay/status/1323475436349779968/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ckallay/status/1323475436349779968","Kootenai4Ever","Florida, USA","Single mom. proud Native American. Born and raised Montana girl. Politically active for years. 2x DNC delegate. Co founder of Montana Indian Democrats Council",,FALSE,47,230,3,764,786,2009-07-10 06:51:35,FALSE,,,,"https://pbs.twimg.com/profile_banners/55494611/1554153351","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1323793294409699329/rkfoU0UQ_normal.jpg"
"x55494611","x1323637796297302018",2020-11-03 14:46:57,"ckallay","Good morning,  Montana.  It's time to vote!!
#2020Elections #BidenHarris2020 #BullockforSenate https://t.co/7i9tE8iGbg","Twitter for Android",94,,,,FALSE,FALSE,0,0,,,"2020Elections BidenHarris2020 BullockforSenate",,,,,"http://pbs.twimg.com/media/El6Bja1UcAscPqe.jpg","https://t.co/7i9tE8iGbg","https://twitter.com/ckallay/status/1323637796297302018/photo/1","photo","http://pbs.twimg.com/media/El6Bja1UcAscPqe.jpg","https://t.co/7i9tE8iGbg","https://twitter.com/ckallay/status/1323637796297302018/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ckallay/status/1323637796297302018","Kootenai4Ever","Florida, USA","Single mom. proud Native American. Born and raised Montana girl. Politically active for years. 2x DNC delegate. Co founder of Montana Indian Democrats Council",,FALSE,47,230,3,764,786,2009-07-10 06:51:35,FALSE,,,,"https://pbs.twimg.com/profile_banners/55494611/1554153351","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1323793294409699329/rkfoU0UQ_normal.jpg"
"x1035561440650772481","x1323508265880186881",2020-11-03 06:12:14,"DogLove81875123","#BullockForSenate https://t.co/7095xfYUpV","Twitter for iPhone",17,,,,TRUE,FALSE,0,0,,,"BullockForSenate",,"twitter.com/stevebullockmt…","https://t.co/7095xfYUpV","https://twitter.com/stevebullockmt/status/1323476285058768896",,,,,,,,,,,"und","x1323476285058768896","I grew up right here in Helena, Montana. We lived paycheck to paycheck, and I only knew there was a Governor’s house because I delivered newspapers to it. 

Tomorrow, Montanans will decide who will represent them in the Senate, and it would be an honor to earn your vote. https://t.co/YlpSDXYcIQ",2020-11-03 04:05:10,"Twitter Media Studio",10611,1820,"x1235630338875052034","stevebullockmt","Steve Bullock",54245,180,712,"Montana","Montana born & raised. Husband. Dad of 3. MT Governor. Running for US Senate. It's time to make Washington work like Montana. Text BULLOCK to 30200 to join us.",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DogLove81875123/status/1323508265880186881","DogLover","","",,FALSE,52,420,0,10594,26634,2018-08-31 16:14:22,FALSE,,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x270366149","x1323498419068043264",2020-11-03 05:33:07,"parothdmt","@SteveDaines I hope we don’t ever have to see Senator in front of your name again. #BULLOCKFORSENATE","Twitter for iPhone",87,"x1323348301479989248","x11651202","SteveDaines",FALSE,FALSE,0,0,,,"BULLOCKFORSENATE",,,,,,,,,,,,,"x11651202","SteveDaines","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/parothdmt/status/1323498419068043264","MT GRIZ FAN","","Retired Teamster and Hater of Orange Impeached President! Jimmy Buffett forever ! Good Trouble , BLM , Wear a damn Mask !#BullockforSenate <U+0001F308><U+0001F308> <U+270C><U+FE0F>",,FALSE,3213,3343,3,2375,10297,2011-03-22 13:51:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/270366149/1604024664","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1284474762006278144/B7740m9U_normal.jpg"
