"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x2549367451","x1323802017614147586",2020-11-04 01:39:30,"SDEHonduras","<U+0001F4CD>San Pedro Sula, #Cortés:

La Designada Presidencial y Ministra de SDE, María Antonia Rivera, autoridades de #Copeco y #Codem, inspeccionaron los albergues habilitados en Chamelecón por la emergencia del #HuracánEta.

#Honduras en #Alerta por #HuracánEta<U+0001F300> https://t.co/0xBlLKqgkT","Twitter for Android",255,,,,TRUE,FALSE,1,0,,,"Cortés Copeco Codem HuracánEta Honduras Alerta HuracánEta",,"twitter.com/HondurasCopeco…","https://t.co/0xBlLKqgkT","https://twitter.com/HondurasCopeco/status/1323787524087709696",,,,,,,,,,,"es","x1323787524087709696","<U+0001F4CD>San Pedro Sula, #Cortés:

La Designada Presidencial, María Antonia Rivera, autoridades de #Copeco y #Codem, inspeccionaron los albergues habilitados en Chamelecón por la emergencia del #HuracánEta.

#Honduras en #Alerta por #HuracánEta <U+0001F300> https://t.co/vEVuwmw9P8",2020-11-04 00:41:55,"Twitter for Android",7,2,"x1270715170076033026","HondurasCopeco","COPECO.HONDURAS",5610,50,3829,"","Institución de Protección Civil en Honduras",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SDEHonduras/status/1323802017614147586","SDE Honduras","Tegucigalpa - Honduras, C. A.","Sitio oficial de la Secretaría de Desarrollo Económico de la República de Honduras @SDEHonduras","https://t.co/1kvHyvsseW",FALSE,8010,920,24,6904,4051,2014-06-06 06:07:54,FALSE,"https://t.co/1kvHyvsseW","https://sde.gob.hn/",,"https://pbs.twimg.com/profile_banners/2549367451/1601559073","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1235306140608663553/rQLaMBx-_normal.jpg"
"x1026843344","x1323799688986939392",2020-11-04 01:30:15,"Notifides","Operaciones de inspección y limpieza en áreas vulnerables de Tegucigalpa se realizan en conjunto con las Fuerzas Armadas, #Codem y #Copeco https://t.co/d9pKS5x9p5","Twitter for Android",138,,,,FALSE,FALSE,1,0,,,"Codem Copeco",,,,,"http://pbs.twimg.com/media/El8UyX0XgAIlNiU.jpg","https://t.co/d9pKS5x9p5","https://twitter.com/Notifides/status/1323799688986939392/photo/1","photo","http://pbs.twimg.com/media/El8UyX0XgAIlNiU.jpg http://pbs.twimg.com/media/El8UymYWkAE1_mo.jpg http://pbs.twimg.com/media/El8UyzdW0AMHgdg.jpg http://pbs.twimg.com/media/El8UzN4WkAQiGkV.jpg","https://t.co/d9pKS5x9p5 https://t.co/d9pKS5x9p5 https://t.co/d9pKS5x9p5 https://t.co/d9pKS5x9p5","https://twitter.com/Notifides/status/1323799688986939392/photo/1 https://twitter.com/Notifides/status/1323799688986939392/photo/1 https://twitter.com/Notifides/status/1323799688986939392/photo/1 https://twitter.com/Notifides/status/1323799688986939392/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Notifides/status/1323799688986939392","Notifides","Honduras","@SuyapaMedios | Noticiero NOTIFIDES, donde damos la información respetando la dignidad humana, siempre balanceando la noticia sin plegarnos con nadie.","https://t.co/hmRJ2sMEG6",FALSE,5188,363,38,47454,27,2012-12-21 17:49:10,FALSE,"https://t.co/hmRJ2sMEG6","http://suyapamedios.hn",,"https://pbs.twimg.com/profile_banners/1026843344/1586469783","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1322770254683144193/hzIIgI0C_normal.jpg"
"x1270715170076033026","x1323787524087709696",2020-11-04 00:41:55,"HondurasCopeco","<U+0001F4CD>San Pedro Sula, #Cortés:

La Designada Presidencial, María Antonia Rivera, autoridades de #Copeco y #Codem, inspeccionaron los albergues habilitados en Chamelecón por la emergencia del #HuracánEta.

#Honduras en #Alerta por #HuracánEta <U+0001F300> https://t.co/vEVuwmw9P8","Twitter for Android",238,,,,FALSE,FALSE,7,2,,,"Cortés Copeco Codem HuracánEta Honduras Alerta HuracánEta",,,,,"http://pbs.twimg.com/media/El8JumaXgAM7Hdh.jpg","https://t.co/vEVuwmw9P8","https://twitter.com/HondurasCopeco/status/1323787524087709696/photo/1","photo","http://pbs.twimg.com/media/El8JumaXgAM7Hdh.jpg http://pbs.twimg.com/media/El8JuyeWoAE1j3Q.jpg http://pbs.twimg.com/media/El8Ju9mXEAgYCpY.jpg http://pbs.twimg.com/media/El8JvNFXEAAjM7I.jpg","https://t.co/vEVuwmw9P8 https://t.co/vEVuwmw9P8 https://t.co/vEVuwmw9P8 https://t.co/vEVuwmw9P8","https://twitter.com/HondurasCopeco/status/1323787524087709696/photo/1 https://twitter.com/HondurasCopeco/status/1323787524087709696/photo/1 https://twitter.com/HondurasCopeco/status/1323787524087709696/photo/1 https://twitter.com/HondurasCopeco/status/1323787524087709696/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HondurasCopeco/status/1323787524087709696","COPECO.HONDURAS","","Institución de Protección Civil en Honduras",,FALSE,5610,50,22,3829,352,2020-06-10 13:52:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/1270715170076033026/1601568820",,"http://pbs.twimg.com/profile_images/1323176519112495104/FNV5R1EJ_normal.jpg"
"x1270715170076033026","x1321948864686051331",2020-10-29 22:55:44,"HondurasCopeco","<U+0001F4CD>En La Paz || Miembros de #Copeco y #Codem sostuvieron una importante reunión para analizar el funcionamiento del Triaje de la ciudad, de igual forma analizaron las debilidades en la red vial productiva de café en la zona, en aras de gestionar en conjunto soluciones factibles. https://t.co/G4jwA8CkkF","Twitter for Android",277,,,,FALSE,FALSE,8,1,,,"Copeco Codem",,,,,"http://pbs.twimg.com/media/EliBeqQWMAAI7YX.jpg","https://t.co/G4jwA8CkkF","https://twitter.com/HondurasCopeco/status/1321948864686051331/photo/1","photo","http://pbs.twimg.com/media/EliBeqQWMAAI7YX.jpg http://pbs.twimg.com/media/EliBe1pWoAAE_0C.jpg http://pbs.twimg.com/media/EliBfG7W0AATZBf.jpg","https://t.co/G4jwA8CkkF https://t.co/G4jwA8CkkF https://t.co/G4jwA8CkkF","https://twitter.com/HondurasCopeco/status/1321948864686051331/photo/1 https://twitter.com/HondurasCopeco/status/1321948864686051331/photo/1 https://twitter.com/HondurasCopeco/status/1321948864686051331/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HondurasCopeco/status/1321948864686051331","COPECO.HONDURAS","","Institución de Protección Civil en Honduras",,FALSE,5610,50,22,3829,352,2020-06-10 13:52:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/1270715170076033026/1601568820",,"http://pbs.twimg.com/profile_images/1323176519112495104/FNV5R1EJ_normal.jpg"
"x1270715170076033026","x1323732905605169153",2020-11-03 21:04:53,"HondurasCopeco","<U+0001F4CD>Pimienta, Cortés: 

Al menos 8 familias fueron evacuadas con apoyo de personal de #Copeco y #Codem de la 
Colonia Libertad, los ciudadanos fueron albergados en el Centro Educativo Raúl Ugarte. 

También se albergó a 12 familias en la Escuela América de San Manuel, Cortés. https://t.co/SP9Iv7A6If","Twitter for Android",273,,,,FALSE,FALSE,21,6,,,"Copeco Codem",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1323732843068071942/pu/img/9nx0PFK78naqSy7F.jpg","https://t.co/SP9Iv7A6If","https://twitter.com/HondurasCopeco/status/1323732905605169153/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1323732843068071942/pu/img/9nx0PFK78naqSy7F.jpg","https://t.co/SP9Iv7A6If","https://twitter.com/HondurasCopeco/status/1323732905605169153/video/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HondurasCopeco/status/1323732905605169153","COPECO.HONDURAS","","Institución de Protección Civil en Honduras",,FALSE,5610,50,22,3829,352,2020-06-10 13:52:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/1270715170076033026/1601568820",,"http://pbs.twimg.com/profile_images/1323176519112495104/FNV5R1EJ_normal.jpg"
"x1270715170076033026","x1323419957456228358",2020-11-03 00:21:20,"HondurasCopeco","Mientras el #COER de #Copeco #SPS se mantiene activo coordinando acciones junto a miembros del Sistema y #Codem, principalmente en los municipios más vulnerables de la zona. https://t.co/pxVav8aHRA","Twitter for Android",173,"x1323419944617451527","x1270715170076033026","HondurasCopeco",FALSE,FALSE,17,5,,,"COER Copeco SPS Codem",,,,,"http://pbs.twimg.com/media/El27bkcXIAAA_5E.jpg","https://t.co/pxVav8aHRA","https://twitter.com/HondurasCopeco/status/1323419957456228358/photo/1","photo","http://pbs.twimg.com/media/El27bkcXIAAA_5E.jpg http://pbs.twimg.com/media/El27bx3WMAIFEs7.jpg http://pbs.twimg.com/media/El27cAOWMAA9i8E.jpg","https://t.co/pxVav8aHRA https://t.co/pxVav8aHRA https://t.co/pxVav8aHRA","https://twitter.com/HondurasCopeco/status/1323419957456228358/photo/1 https://twitter.com/HondurasCopeco/status/1323419957456228358/photo/1 https://twitter.com/HondurasCopeco/status/1323419957456228358/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HondurasCopeco/status/1323419957456228358","COPECO.HONDURAS","","Institución de Protección Civil en Honduras",,FALSE,5610,50,22,3829,352,2020-06-10 13:52:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/1270715170076033026/1601568820",,"http://pbs.twimg.com/profile_images/1323176519112495104/FNV5R1EJ_normal.jpg"
"x3223659392","x1323434601193328641",2020-11-03 01:19:31,"PoliciaHonduras","En Villanueva, #Cortés, la Policía Nacional con miembros del #CODEM realizan inspecciones en albergues en caso de inundaciones ocasionadas por el #HuracánEta https://t.co/qoZTCT5Keo","Twitter Web App",157,,,,FALSE,FALSE,1,0,,,"Cortés CODEM HuracánEta",,,,,"http://pbs.twimg.com/media/El3IubXX0AA7OH1.jpg","https://t.co/qoZTCT5Keo","https://twitter.com/PoliciaHonduras/status/1323434601193328641/photo/1","photo","http://pbs.twimg.com/media/El3IubXX0AA7OH1.jpg http://pbs.twimg.com/media/El3IubaW0AEePGw.jpg http://pbs.twimg.com/media/El3IubYXYAIr_nx.jpg http://pbs.twimg.com/media/El3IubYXEAESh79.jpg","https://t.co/qoZTCT5Keo https://t.co/qoZTCT5Keo https://t.co/qoZTCT5Keo https://t.co/qoZTCT5Keo","https://twitter.com/PoliciaHonduras/status/1323434601193328641/photo/1 https://twitter.com/PoliciaHonduras/status/1323434601193328641/photo/1 https://twitter.com/PoliciaHonduras/status/1323434601193328641/photo/1 https://twitter.com/PoliciaHonduras/status/1323434601193328641/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PoliciaHonduras/status/1323434601193328641","Policía Nacional de Honduras","Honduras, El Ocotal F.M.","Cuenta Oficial de la Policía Nacional de Honduras, al servicio de los ciudadanos","https://t.co/rscOpobsxv",FALSE,62520,215,118,53024,2990,2015-05-22 21:10:58,TRUE,"https://t.co/rscOpobsxv","https://bit.ly/35yyj8F",,"https://pbs.twimg.com/profile_banners/3223659392/1604450515","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1322880120080793600/2BoLnaDh_normal.jpg"
"x3223659392","x1323765580839735298",2020-11-03 23:14:43,"PoliciaHonduras","Realizamos acompañamiento a #CODEM en el recorrido por las posibles áreas y zonas vulnerables en La Esperanza #Intibucá https://t.co/PiOXFf6Hoj","Twitter Web App",119,,,,FALSE,FALSE,2,1,,,"CODEM Intibucá",,,,,"http://pbs.twimg.com/media/El71nO7XUAIYxje.jpg","https://t.co/PiOXFf6Hoj","https://twitter.com/PoliciaHonduras/status/1323765580839735298/photo/1","photo","http://pbs.twimg.com/media/El71nO7XUAIYxje.jpg","https://t.co/PiOXFf6Hoj","https://twitter.com/PoliciaHonduras/status/1323765580839735298/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PoliciaHonduras/status/1323765580839735298","Policía Nacional de Honduras","Honduras, El Ocotal F.M.","Cuenta Oficial de la Policía Nacional de Honduras, al servicio de los ciudadanos","https://t.co/rscOpobsxv",FALSE,62520,215,118,53024,2990,2015-05-22 21:10:58,TRUE,"https://t.co/rscOpobsxv","https://bit.ly/35yyj8F",,"https://pbs.twimg.com/profile_banners/3223659392/1604450515","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1322880120080793600/2BoLnaDh_normal.jpg"
"x1637169530","x1321004183076519938",2020-10-27 08:21:54,"angel_ank1","What's happening Jen Jen <U+0001F929><U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F633><U+0001F633><U+0001F633> #JenniferWinget #bepannaah #beyhadh2 #beyhadh #CodeM #dillmillgayye https://t.co/TqWKGVYokJ","Twitter for Android",101,,,,FALSE,FALSE,106,40,,,"JenniferWinget bepannaah beyhadh2 beyhadh CodeM dillmillgayye",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1321003518270947328/pu/img/NFMHcWbLrPxBDIDz.jpg","https://t.co/TqWKGVYokJ","https://twitter.com/angel_ank1/status/1321004183076519938/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1321003518270947328/pu/img/NFMHcWbLrPxBDIDz.jpg","https://t.co/TqWKGVYokJ","https://twitter.com/angel_ank1/status/1321004183076519938/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/angel_ank1/status/1321004183076519938","Angel Anki<U+0001F64B><U+0001F3FB><U+200D><U+2640><U+FE0F><U+0001F1EE><U+0001F1F3>","Kolkata, India","Spread love everywhere you go. Let no one ever come to you without leaving happier",,FALSE,2620,227,9,172071,304950,2013-08-01 05:02:09,FALSE,,,,"https://pbs.twimg.com/profile_banners/1637169530/1602614694","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1323604622213144576/5XHPlMci_normal.jpg"
"x1637169530","x1323662332992520192",2020-11-03 16:24:27,"angel_ank1","Time for some hot mess <U+0001F525><U+0001F525><U+0001F525> #JenniferWinget #beyhadh #beyhadh2 #bepannaah #CodeM #dillmillgayye #Saraswatichandra https://t.co/uA8MkrWKli","Twitter for Android",112,,,,FALSE,FALSE,38,18,,,"JenniferWinget beyhadh beyhadh2 bepannaah CodeM dillmillgayye Saraswatichandra",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1323659662256873474/pu/img/83ZOaqsjcvm9LYIm.jpg","https://t.co/uA8MkrWKli","https://twitter.com/angel_ank1/status/1323662332992520192/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1323659662256873474/pu/img/83ZOaqsjcvm9LYIm.jpg","https://t.co/uA8MkrWKli","https://twitter.com/angel_ank1/status/1323662332992520192/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/angel_ank1/status/1323662332992520192","Angel Anki<U+0001F64B><U+0001F3FB><U+200D><U+2640><U+FE0F><U+0001F1EE><U+0001F1F3>","Kolkata, India","Spread love everywhere you go. Let no one ever come to you without leaving happier",,FALSE,2620,227,9,172071,304950,2013-08-01 05:02:09,FALSE,,,,"https://pbs.twimg.com/profile_banners/1637169530/1602614694","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1323604622213144576/5XHPlMci_normal.jpg"
