"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x47719442","x1323832216531599365",2020-11-04 03:39:30,"VanityLeshae","Bye Cory <U+0001F60C><U+0001F44F><U+0001F3FE><U+0001F44F><U+0001F3FE><U+0001F44F><U+0001F3FE>

#corygardner","Twitter for iPhone",30,,,,FALSE,FALSE,0,0,,,"corygardner",,,,,,,,,,,,,,,"ht",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/VanityLeshae/status/1323832216531599365","no<U+028E>†<U+029E><U+0254>n<U+025F> <U+264C><U+FE0E>","Esoteric Universe","|Denver, CO <U+0001F6EB> | V A N I T Y L E S H A E | 888 | FSU #audioengineer • #producer • #creative <U+0950> <U+264C> <U+2742> <U+2648><U+FE0F> <U+263E> <U+2649> <U+21E1>",,FALSE,1958,926,45,122104,90266,2009-06-16 19:31:21,FALSE,,,,"https://pbs.twimg.com/profile_banners/47719442/1591905200","http://abs.twimg.com/images/themes/theme18/bg.gif","http://pbs.twimg.com/profile_images/1321259635542650882/5t2wwGuP_normal.jpg"
"x1241868308707790849","x1323830828510531584",2020-11-04 03:33:59,"GreatLockdown","@CoryGardner message  to you from a longtime supporter. Known you since 2004. Your inability to think for yourself, your die hard support for Trump, your inability to work across party lines, led to this. Get out. GTFO. #Hickenlooper2020 #corygardner","Twitter for iPhone",250,,"x20879626","CoryGardner",FALSE,FALSE,0,0,,,"Hickenlooper2020 corygardner",,,,,,,,,,,,,"x20879626","CoryGardner","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GreatLockdown/status/1323830828510531584","TheGreatLockdown","United States","Attempting to find the lighter side of a world that is on lockdown (but its really damn hard).",,FALSE,16,142,0,319,48,2020-03-22 23:24:43,FALSE,,,,"https://pbs.twimg.com/profile_banners/1241868308707790849/1584921069",,"http://pbs.twimg.com/profile_images/1270015325405237249/8Itth9JM_normal.jpg"
"x961673316913131520","x1323829950860926976",2020-11-04 03:30:30,"SupermanNumber","I give mad respect to #CoryGardner after like six months of hearing their political ads I thought he was kind of a jerk, but he was cool about ""Hicken Loopy"" suitin up.  :)","Twitter Web App",172,,,,FALSE,FALSE,0,0,,,"CoryGardner",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SupermanNumber/status/1323829950860926976","SupermanNumber1","","",,FALSE,756,3144,2,4569,1357,2018-02-08 18:49:20,FALSE,,,,"https://pbs.twimg.com/profile_banners/961673316913131520/1599461101",,"http://pbs.twimg.com/profile_images/1306301343477440512/DH5OTaBM_normal.jpg"
"x722862884703735808","x1323829939871928320",2020-11-04 03:30:27,"JuliaChase1969","I know #MoscowMitch won. But let’s hope for others to lose. #LeningradLindsey #CoryGardner #SusanCollins","Twitter for iPhone",104,,,,FALSE,FALSE,0,0,,,"MoscowMitch LeningradLindsey CoryGardner SusanCollins",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JuliaChase1969/status/1323829939871928320","Pets Resist Too","Illinois, USA","Mom to “the boy” and cat Stefan, dog Paul. Editor/writer. #TheResistance #ITMFA #Resist #MeToo #FBR #NeverAgain #Atheist #PRU Proud to be blocked by @DLoesch.",,FALSE,4811,5163,13,11114,57958,2016-04-20 19:01:56,FALSE,,,,"https://pbs.twimg.com/profile_banners/722862884703735808/1522790741",,"http://pbs.twimg.com/profile_images/981282136518025224/aPKAegTM_normal.jpg"
"x43445517","x1323829658362761217",2020-11-04 03:29:20,"bubbleyummama","#BeLikeColorado
#CoryGardner bye bye
#FlipTheSenateBlue .....done!!","Twitter for Android",67,,,,FALSE,FALSE,0,0,,,"BeLikeColorado CoryGardner FlipTheSenateBlue",,,,,,,,,,,,,,,"ht",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/b49b3053b5c25bf5.json","Denver","Denver, CO","city","United States","US","NA NA","NA NA","-105.109815 -104.734372 -104.734372 -105.109815 39.614151 39.614151 39.812975 39.812975","https://twitter.com/bubbleyummama/status/1323829658362761217","Helen","Colorado","Giving honor to God, Jesus and His creation. Social issues and politics.",,FALSE,155,288,2,64889,99169,2009-05-30 00:38:50,FALSE,,,,"https://pbs.twimg.com/profile_banners/43445517/1591238380","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1283976250571149313/DHzBhrRa_normal.jpg"
"x43445517","x1323826911597002753",2020-11-04 03:18:25,"bubbleyummama","Bye-bye #CoryGardner........we flipped him out!! #FlipTheSenate","Twitter for Android",63,,,,FALSE,FALSE,0,0,,,"CoryGardner FlipTheSenate",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/b49b3053b5c25bf5.json","Denver","Denver, CO","city","United States","US","NA NA","NA NA","-105.109815 -104.734372 -104.734372 -105.109815 39.614151 39.614151 39.812975 39.812975","https://twitter.com/bubbleyummama/status/1323826911597002753","Helen","Colorado","Giving honor to God, Jesus and His creation. Social issues and politics.",,FALSE,155,288,2,64889,99169,2009-05-30 00:38:50,FALSE,,,,"https://pbs.twimg.com/profile_banners/43445517/1591238380","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1283976250571149313/DHzBhrRa_normal.jpg"
"x141854901","x1323828127387144192",2020-11-04 03:23:15,"FashyHaircut","Bad news: Incumbent Senator @CoryGardner (R) has been defeated. Good news: @realDonaldTrump has taken the lead in #CoryGardner #Trump #NorthCarolina! #COSen #NCPres #Election2020 https://t.co/OOPuHaRulL","Twitter for Android",178,,,,FALSE,FALSE,0,0,,,"CoryGardner Trump NorthCarolina COSen NCPres Election2020",,,,,"http://pbs.twimg.com/media/El8uqmIU8AEukQJ.jpg","https://t.co/OOPuHaRulL","https://twitter.com/FashyHaircut/status/1323828127387144192/photo/1","photo","http://pbs.twimg.com/media/El8uqmIU8AEukQJ.jpg","https://t.co/OOPuHaRulL","https://twitter.com/FashyHaircut/status/1323828127387144192/photo/1",,"x20879626 x25073877","CoryGardner realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FashyHaircut/status/1323828127387144192","Vote Anthony Macias for Trustee","San Jose, California","We must elect Anthony Macias to give San Jose Unified stong and stable leadership! #JointheResistance Re-tweets and likes do not equal agreement/endorsement.","https://t.co/bVH6WVIiZr",FALSE,308,787,3,11587,3904,2010-05-09 06:45:08,FALSE,"https://t.co/bVH6WVIiZr","https://anthonymacias.nationbuilder.com/",,"https://pbs.twimg.com/profile_banners/141854901/1601623664","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1311931188995526656/jJlF2sfr_normal.jpg"
"x180885824","x1323827330544922624",2020-11-04 03:20:05,"fiercelivingfit","@CoryGardner buh BYE mutha Fucka!!! #2020Election #corygardner","Twitter for iPhone",62,,"x20879626","CoryGardner",FALSE,FALSE,0,0,,,"2020Election corygardner",,,,,,,,,,,,,"x20879626","CoryGardner","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/fiercelivingfit/status/1323827330544922624","Shabana Fierce","Denver","NASM Certified Personal Trainer <U+0001F49C>Writer <U+0001F5A4> Social Media Mngmt <U+0001F9E1> #blacklivesmatter <U+0001F5E3><U+270A><U+0001F3FD><U+2764><U+FE0F> & <U+0001F3F3><U+FE0F><U+200D><U+0001F308> Ally",,FALSE,191,236,0,3766,1781,2010-08-20 19:03:38,FALSE,,,,"https://pbs.twimg.com/profile_banners/180885824/1603455074","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1315865708899651585/56QVUtVP_normal.jpg"
"x956385339442163713","x1323822327931437059",2020-11-04 03:00:13,"kate_rdn","Bye #CoryGardner! <U+0001F44B><U+0001F601> https://t.co/27Pbk2pb4M https://t.co/eRRU7JRL69","Twitter for iPhone",44,,,,TRUE,FALSE,4,2,,,"CoryGardner",,"twitter.com/corygardner/st…","https://t.co/27Pbk2pb4M","https://twitter.com/corygardner/status/1323817524492820480","http://pbs.twimg.com/tweet_video_thumb/El8pY2aVMAA_1K9.jpg","https://t.co/eRRU7JRL69","https://twitter.com/kate_rdn/status/1323822327931437059/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/El8pY2aVMAA_1K9.jpg","https://t.co/eRRU7JRL69","https://twitter.com/kate_rdn/status/1323822327931437059/photo/1",,,,"und","x1323817524492820480","It has been such an honor serving the people of Colorado in the Senate for the past 6 years.

Tune in to my speech now at https://t.co/iZRRyor3HL. https://t.co/volKzMT8ya",2020-11-04 02:41:07,"Twitter for iPhone",460,51,"x20879626","CoryGardner","Cory Gardner",24380,139,1976,"Yuma, Colorado","Senator (R-CO). 5th generation Coloradan. Fighting for a strong economy and opportunity for all.",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kate_rdn/status/1323822327931437059","Kate Russell, MS, RDN","Denver, CO","Registered Dietitian Nutritionist. @NIH DI and #BrooklynCollege alum. At the intersection of food systems, #nutrition, tech, and health #BlackLivesMatter",,FALSE,927,797,9,2160,25256,2018-01-25 04:36:48,FALSE,,,,"https://pbs.twimg.com/profile_banners/956385339442163713/1601939714",,"http://pbs.twimg.com/profile_images/1312187166991163393/Oc-iCQBL_normal.jpg"
"x787935427961446400","x1323822177054064641",2020-11-04 02:59:37,"haaohaoo","#JohnHickenlooper just flipped a key Senate seat for Democrats in Colorado, defeating #CoryGardner https://t.co/SHevFGywye","Twitter for Android",122,,,,FALSE,FALSE,19,7,,,"JohnHickenlooper CoryGardner",,"vox.com/2020/11/3/2153…","https://t.co/SHevFGywye","https://www.vox.com/2020/11/3/21530816/senate-2020-results-colorado-john-hickenlooper-winner?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=twitter",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/haaohaoo/status/1323822177054064641","Nguyen #fbpe #fbr","Brussels, Belgium","Press 'Enter' and live the rest of your life regretting it.
I follow back #resisters. No list.
I link to photos and videos. DM me for permanent no linking.",,FALSE,17963,15603,15,118927,113011,2016-10-17 08:37:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/787935427961446400/1563021931",,"http://pbs.twimg.com/profile_images/1155455912909451264/AY6MYKaE_normal.jpg"
