"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x26698875","x1323831429483081728",2020-11-04 03:36:23,"KoolColoradan","The die has already been cast in my state, the great Rocky Mountain state of #Colorado and all points lead to @JoeBiden winning and #hickenlooper too.

Now it's up to the rest of the nation to save us from the madness that is #DaftnDangerousDonald.  
#ElectionNight","Twitter for Android",265,,,,FALSE,FALSE,1,0,,,"Colorado hickenlooper DaftnDangerousDonald ElectionNight",,,,,,,,,,,,,"x939091","JoeBiden","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KoolColoradan/status/1323831429483081728","Kool Coloradoan (TGW DesertFox722 )","Colorado ","I'm a cool Coloradan, who sometimes promotes a dead blog. Love da Broncos.Also follow friends, politicans & sexy ladies. #TGW Platoon Colonel as well.Random eh?","https://t.co/qG7qlfOjA0",FALSE,118,54,11,18271,23203,2009-03-26 05:54:58,FALSE,"https://t.co/qG7qlfOjA0","http://koolcoloradaninsights.blogspot.com/",,"https://pbs.twimg.com/profile_banners/26698875/1419220025","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1367986500/shades_normal.jpg"
"x33143058","x1323830417229709313",2020-11-04 03:32:21,"sweetchld","@PalmerReport That’s my state #Colorado #hickenlooper <U+0001F499><U+0001F499> #Biden2020","Twitter for iPhone",53,"x1323810930824720384","x15115280","PalmerReport",FALSE,FALSE,0,0,,,"Colorado hickenlooper Biden2020",,,,,,,,,,,,,"x15115280","PalmerReport","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sweetchld/status/1323830417229709313","Margaret Moore","Fort Collins Colorado","Live,Love and Laugh but Mostly Love...!!",,FALSE,43,222,1,2867,5586,2009-04-19 05:46:43,FALSE,,,,"https://pbs.twimg.com/profile_banners/33143058/1455715380","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1206470705837006848/U2jZJv6E_normal.jpg"
"x966360079548239872","x1323830353019260931",2020-11-04 03:32:06,"Emotions1O1","Yay #COLORADO #geologist &amp; someone who will say/do what the do/say not the other guy (although said to be bi-partisan) #hickenlooper in the @dscc <U+0001F44D><U+0001F3FB> https://t.co/2Wc081Hwq4","Twitter for iPhone",152,,,,FALSE,FALSE,0,0,,,"COLORADO geologist hickenlooper",,,,,"http://pbs.twimg.com/media/El8wsCUXIAAEsCa.jpg","https://t.co/2Wc081Hwq4","https://twitter.com/Emotions1O1/status/1323830353019260931/photo/1","photo","http://pbs.twimg.com/media/El8wsCUXIAAEsCa.jpg http://pbs.twimg.com/media/El8wsCWXEAIFmSm.jpg http://pbs.twimg.com/media/El8wsCUW0AYWxYv.jpg http://pbs.twimg.com/media/El8wsCWWkAIms-l.jpg","https://t.co/2Wc081Hwq4 https://t.co/2Wc081Hwq4 https://t.co/2Wc081Hwq4 https://t.co/2Wc081Hwq4","https://twitter.com/Emotions1O1/status/1323830353019260931/photo/1 https://twitter.com/Emotions1O1/status/1323830353019260931/photo/1 https://twitter.com/Emotions1O1/status/1323830353019260931/photo/1 https://twitter.com/Emotions1O1/status/1323830353019260931/photo/1",,"x14466538","dscc","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Emotions1O1/status/1323830353019260931","Smartie","","let’s begin...","https://t.co/4PjbCszXys",FALSE,1929,4943,2,5517,8737,2018-02-21 17:12:51,FALSE,"https://t.co/4PjbCszXys","http://howmanyneeded.tumblr.com",,"https://pbs.twimg.com/profile_banners/966360079548239872/1601059172","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1270238539821789190/kC9otpIQ_normal.jpg"
"x2200886797","x1323829734430531585",2020-11-04 03:29:38,"Synsorrows","Oh, @CoryGardner is slime, but I am disgusted that not only did #hickenlooper corrupt ass run, but he actually won. 
He should have been disqualified for life from politics after what he did.","Twitter for Android",191,,,,FALSE,FALSE,0,0,,,"hickenlooper",,,,,,,,,,,,,"x20879626","CoryGardner","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/00d9cec21aec392a.json","Security","Security, CO","city","United States","US","NA NA","NA NA","-104.767018 -104.682712 -104.682712 -104.767018 38.717559 38.717559 38.781787 38.781787","https://twitter.com/Synsorrows/status/1323829734430531585","Tim Stewart","Colorado Springs, CO","Bassist for All Secrets Known
Football and Hockey lover, Video Gamer.
Go Chargers, Wolverines and Red Wings","https://t.co/djYiav0dYZ",FALSE,80,600,3,1661,2200,2013-11-18 08:04:20,FALSE,"https://t.co/djYiav0dYZ","http://www.allsecretsknown.com",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1205298421571022848/JMbtoSzC_normal.jpg"
"x16260538","x1323829393223950336",2020-11-04 03:28:17,"SharpSweetBella","It is entirely possible for me to be both happy that #Hickenlooper won and giving a simultaneous side eye  that it had to come at the cost of a true progressive agenda that #Romanoff would have given us. 

Progressive Dems now Hick has won: https://t.co/Zszy7YrPaq","Twitter for iPhone",240,,,,FALSE,FALSE,2,0,,,"Hickenlooper Romanoff",,,,,"http://pbs.twimg.com/tweet_video_thumb/El8v0E0VgAAI5gH.jpg","https://t.co/Zszy7YrPaq","https://twitter.com/SharpSweetBella/status/1323829393223950336/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/El8v0E0VgAAI5gH.jpg","https://t.co/Zszy7YrPaq","https://twitter.com/SharpSweetBella/status/1323829393223950336/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SharpSweetBella/status/1323829393223950336","Janet <U+0001F496> Radiant Queen of Resilience","Denver, CO","Professional do-gooder #Chicanx #polyamorous<U+0001F498> #bisexual <U+0001F497><U+0001F49C><U+0001F499>geek. My vision is #traumainformed social change<U+270A> thru heart-centered #leadership<U+0001F496><U+0001F451> she/her","https://t.co/JD65o3e2zy",FALSE,3259,2975,87,55982,44217,2008-09-12 18:27:35,FALSE,"https://t.co/JD65o3e2zy","https://linktr.ee/RoseConnections",,"https://pbs.twimg.com/profile_banners/16260538/1598889271","http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/1315672903967408135/Kt6K2ef5_normal.jpg"
"x266497594","x1323828209176121349",2020-11-04 03:23:35,"earth_2_brandon","First step in flipping the Senate. Congratulations #hickenlooper https://t.co/Qs7fDlLRr8","Twitter for iPhone",64,,,,FALSE,FALSE,0,0,,,"hickenlooper",,,,,"http://pbs.twimg.com/media/El8uvAXUcAAaxqI.jpg","https://t.co/Qs7fDlLRr8","https://twitter.com/earth_2_brandon/status/1323828209176121349/photo/1","photo","http://pbs.twimg.com/media/El8uvAXUcAAaxqI.jpg","https://t.co/Qs7fDlLRr8","https://twitter.com/earth_2_brandon/status/1323828209176121349/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/85c09b7b6a803faf.json","Southglenn","Southglenn, CO","city","United States","US","NA NA","NA NA","-104.988399 -104.922825 -104.922825 -104.988399 39.565951 39.565951 39.613203 39.613203","https://twitter.com/earth_2_brandon/status/1323828209176121349","Brandon","Highlands Ranch, Colorado","Life always offers you a second chance. It’s called tomorrow.",,FALSE,261,863,3,2575,10035,2011-03-15 09:57:59,FALSE,,,,"https://pbs.twimg.com/profile_banners/266497594/1594432933","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1281770595173056512/xYtL93BU_normal.jpg"
"x1159202336","x1323827973816942592",2020-11-04 03:22:39,"1Theleftlane8","Fuck yea Colorado, you showed up! #hickenlooper #Biden2020","Twitter for iPhone",58,,,,FALSE,FALSE,0,0,,,"hickenlooper Biden2020",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/1Theleftlane8/status/1323827973816942592","Jorge Jaquez","Denver, CO","|Frac|Engineer|'Murica|Workaholic|Planning world domination. Hit me up if you want in|",,FALSE,69,69,0,6010,1344,2013-02-08 05:17:06,FALSE,,,,"https://pbs.twimg.com/profile_banners/1159202336/1506010167","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/927891743244242949/lgdSIeTU_normal.jpg"
"x21387044","x1323827074872856577",2020-11-04 03:19:04,"ketgorjestani","We’re back at square one for the Senate race. #hickenlooper beats incumbent Rep #Gardner in #Colorado but #Tuberville beats incumbent Dem Jones in #Alabama. #ElectionNight #SenateRace2020","Twitter for iPhone",187,,,,FALSE,FALSE,1,2,,,"hickenlooper Gardner Colorado Tuberville Alabama ElectionNight SenateRace2020",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ketgorjestani/status/1323827074872856577","Kethevane Gorjestani","Paris, France","@France24_en Washington DC Correspondent (former Sports Editor) My tweet = My opinion. Retweets aren't endorsements.","https://t.co/T3bTZG5IsT",FALSE,2082,603,60,5457,1535,2009-02-20 10:07:08,FALSE,"https://t.co/T3bTZG5IsT","http://www.kethevanegorjestani.com",,,"http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/2644754291/4c4621f4b408714ec378aacc9467a1fc_normal.jpeg"
"x260503264","x1323826796698112001",2020-11-04 03:17:58,"bluesuezoo","but, maybe not in a power seat!!! only 3 more!! #hickenlooper WON!! https://t.co/0SEJuAsYpE","Twitter Web App",67,,,,TRUE,FALSE,3,1,,,"hickenlooper",,"twitter.com/DrTomMartinPhD…","https://t.co/0SEJuAsYpE","https://twitter.com/DrTomMartinPhD/status/1323825342444789760",,,,,,,,,,,"en","x1323825342444789760","I'm nauseous!
More Years Of:
#LeningradLindsey and
#MoscowMitch",2020-11-04 03:12:11,"Twitter for Android",16,2,"x634676291","DrTomMartinPhD","Dr. Tom Martin (Ph.D.)",14320,10417,240578,"","Psychologist, 43 years in Mental Health (retired)",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/bluesuezoo/status/1323826796698112001","Sue Zoo","","Rocket ship builder, loves the Rockies as in Mts, all animals and nice people. Dislike fakes of any kind.",,FALSE,3302,4986,273,276915,188823,2011-03-04 00:44:51,FALSE,,,,"https://pbs.twimg.com/profile_banners/260503264/1484078089","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/378800000770511910/f2717d32a14082fef01983978a41d3be_normal.jpeg"
"x192477353","x1323826351288197120",2020-11-04 03:16:12,"Jeannie_Hartley","#Election2020 #BidenHarris2020ToSaveAmerica #Democrats #Colorado WELL DONE We did our part #Hickenlooper won and @JoeBiden won in our state. https://t.co/iU6bbtjkTe","Twitter for iPhone",140,,,,TRUE,FALSE,1,0,,,"Election2020 BidenHarris2020ToSaveAmerica Democrats Colorado Hickenlooper",,"twitter.com/jeannie_hartle…","https://t.co/iU6bbtjkTe","https://twitter.com/jeannie_hartley/status/1323823752073736194",,,,,,,,,"x939091","JoeBiden","en","x1323823752073736194","I am so proud of #Colorado We got rid of @SenCoryGardner and @JoeBiden won nine #ElectoralVotes here. Well Done COLORADO.",2020-11-04 03:05:52,"Twitter for iPhone",8,1,"x192477353","Jeannie_Hartley","Jeannie Hartley",17717,19240,549065,"worldwide","<U+2665><U+FE0F>ALL PEOPLE ARE OUR PEOPLE #apaop #HumanRights #ChildrensRights #Resist #BlackLivesMatter #BidenHarris2020 #KHive #KamalaHarrisVP #25thAmendmentNow",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Jeannie_Hartley/status/1323826351288197120","Jeannie Hartley","worldwide","<U+2665><U+FE0F>ALL PEOPLE ARE OUR PEOPLE #apaop #HumanRights #ChildrensRights #Resist #BlackLivesMatter #BidenHarris2020 #KHive #KamalaHarrisVP #25thAmendmentNow",,FALSE,17717,19240,744,549065,159538,2010-09-19 07:47:04,FALSE,,,,"https://pbs.twimg.com/profile_banners/192477353/1569734628","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1315050067120726016/SbZAaMVX_normal.jpg"
