"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x100482942","x1323570398324248582",2020-11-03 10:19:08,"citizenyid","@MiaFarrow #JonidontknowBeans!!!","Twitter Web App",21,"x1321101392216555526","x33235771","MiaFarrow",FALSE,FALSE,0,0,,,"JonidontknowBeans",,,,,,,,,,,,,"x33235771","MiaFarrow","und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/citizenyid/status/1323570398324248582","Shayna","Jerusalem, Israel","Citizenship isn't a spectator sport. 
American - Israeli",,FALSE,9964,10645,12,113154,77710,2009-12-30 12:15:18,FALSE,,,,"https://pbs.twimg.com/profile_banners/100482942/1540555632","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/486797262274584577/OL6nRrvM_normal.jpeg"
"x100482942","x1323570165238374403",2020-11-03 10:18:12,"citizenyid","How stupid ate the people of #IOWA?
<U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997>
The sitting senator of Iowa is so stupid, she doesn't know the price of soybeans.
#JoniDontKnowBeans
<U+0001F30A> <U+0001F30A><U+0001F30A>  <U+0001F30A><U+0001F30A><U+0001F30A>    <U+0001F30A><U+0001F30A><U+0001F30A><U+0001F30A>     <U+0001F30A><U+0001F30A> https://t.co/lE7KT3VnDk","Twitter Web App",176,,,,TRUE,FALSE,2,1,,,"IOWA JoniDontKnowBeans",,"twitter.com/MiaFarrow/stat…","https://t.co/lE7KT3VnDk","https://twitter.com/MiaFarrow/status/1321101392216555526",,,,,,,,,,,"en","x1321101392216555526","Wow Trump says the people of  #Iowa are “stupid”. https://t.co/bcY3ucFxym",2020-10-27 14:48:11,"Twitter for iPhone",442,199,"x33235771","MiaFarrow","Mia Farrow",436780,1303,89683,"USA ","John Lewis:”Do not get lost in a sea of despair. Be hopeful, be optimistic. Our struggle is not the struggle of a day, -it is the struggle of a lifetime. “",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/citizenyid/status/1323570165238374403","Shayna","Jerusalem, Israel","Citizenship isn't a spectator sport. 
American - Israeli",,FALSE,9964,10645,12,113154,77710,2009-12-30 12:15:18,FALSE,,,,"https://pbs.twimg.com/profile_banners/100482942/1540555632","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/486797262274584577/OL6nRrvM_normal.jpeg"
"x100482942","x1323568063225221120",2020-11-03 10:09:51,"citizenyid","Vote for America. Vote for JOE.
Global warming's climate catastrophe is happening now. 

The GOP doesn't care, do you?

Vote Democrat down ballot. Remove Republicans, from Local, State, and Federal office.

#IOWA, Have you heard?#JoniDontKnowBeans

#VOTE https://t.co/NcGayOHnky","Twitter Web App",254,,,,TRUE,FALSE,1,0,,,"IOWA JoniDontKnowBeans VOTE",,"twitter.com/Interior/statu…","https://t.co/NcGayOHnky","https://twitter.com/Interior/status/1323314123363549184",,,,,,,,,,,"en","x1323314123363549184","In the forests &amp; meadows along the Mississippi River, Effigy Mounds National Monument preserves over 200 ceremonial earthworks constructed between 1,400 &amp; 750 years ago #Iowa #NativeAmericanHeritageMonth https://t.co/ESh1fRkTY8",2020-11-02 17:20:47,"Twitter Web App",545,88,"x76348185","Interior","US Department of the Interior",4981687,129721,23930,"Washington, DC","Stewarding Conservation and Powering Our Future",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/citizenyid/status/1323568063225221120","Shayna","Jerusalem, Israel","Citizenship isn't a spectator sport. 
American - Israeli",,FALSE,9964,10645,12,113154,77710,2009-12-30 12:15:18,FALSE,,,,"https://pbs.twimg.com/profile_banners/100482942/1540555632","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/486797262274584577/OL6nRrvM_normal.jpeg"
"x100482942","x1323567288512118784",2020-11-03 10:06:46,"citizenyid","@DaniGramFLA Vote for America. Vote for JOE.

Trump has no health care plan.
We're slave labor to the GOP.
They don't care, do you?

Vote Democrat down ballot. Remove Republicans, from Local, State, and Federal office.

#IOWA, Have you heard?
#JoniDontKnowBeans
GREENFIELD for Iowa - US Senate","Twitter Web App",280,"x1323287256250175488","x761259480164274176","DaniGramFLA",FALSE,FALSE,2,2,,,"IOWA JoniDontKnowBeans",,,,,,,,,,,,,"x761259480164274176","DaniGramFLA","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/citizenyid/status/1323567288512118784","Shayna","Jerusalem, Israel","Citizenship isn't a spectator sport. 
American - Israeli",,FALSE,9964,10645,12,113154,77710,2009-12-30 12:15:18,FALSE,,,,"https://pbs.twimg.com/profile_banners/100482942/1540555632","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/486797262274584577/OL6nRrvM_normal.jpeg"
"x100482942","x1323566903047106563",2020-11-03 10:05:15,"citizenyid","@DebraMessing @GreenfieldIowa Vote for America. Vote for JOE.

Trump has no health care plan.
We're slave labor to the GOP.
They don't care, do you?

Vote Democrat down ballot. Remove Republicans, from Local, State, and Federal office.

#IOWA, Have you heard? 
#JoniDontKnowBeans","Twitter Web App",249,"x1322307400238567424","x499073990","DebraMessing",FALSE,FALSE,2,0,,,"IOWA JoniDontKnowBeans",,,,,,,,,,,,,"x499073990 x875025043130068992","DebraMessing GreenfieldIowa","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/citizenyid/status/1323566903047106563","Shayna","Jerusalem, Israel","Citizenship isn't a spectator sport. 
American - Israeli",,FALSE,9964,10645,12,113154,77710,2009-12-30 12:15:18,FALSE,,,,"https://pbs.twimg.com/profile_banners/100482942/1540555632","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/486797262274584577/OL6nRrvM_normal.jpeg"
"x100482942","x1323566673274830850",2020-11-03 10:04:20,"citizenyid","@JamesFLoveIV Vote for America. Vote for JOE.

Trump has no health care plan.
We're slave labor to the GOP.
They don't care, do you?

Vote Democrat down ballot. Remove Republicans, from Local, State, and Federal office.

#IOWA, Have you heard?#JoniDontKnowBeans","Twitter Web App",247,"x1322993320289800192","x706301516878094340","JamesFLoveIV",FALSE,FALSE,3,1,,,"IOWA JoniDontKnowBeans",,,,,,,,,,,,,"x706301516878094340","JamesFLoveIV","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/citizenyid/status/1323566673274830850","Shayna","Jerusalem, Israel","Citizenship isn't a spectator sport. 
American - Israeli",,FALSE,9964,10645,12,113154,77710,2009-12-30 12:15:18,FALSE,,,,"https://pbs.twimg.com/profile_banners/100482942/1540555632","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/486797262274584577/OL6nRrvM_normal.jpeg"
"x100482942","x1321785712094683136",2020-10-29 12:07:26,"citizenyid","The sitting Senator from Iowa has so little respect for Iowans, she showed up to debate, ask for 6 more years, and doesn't know tge price of soybeans. Bet she knows the price of a barrel of oil.<U+0001F997><U+0001F997>
#JoniDontKnowBeans
<U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997>
 https://t.co/yEOwd5pxYw via @grist","Twitter for Android",260,,,,FALSE,FALSE,5,3,,,"JoniDontKnowBeans",,"grist.org/politics/these…","https://t.co/yEOwd5pxYw","https://grist.org/politics/these-4-toss-up-senate-races-joni-ernst-susan-collins-cal-cunningham-might-determine-the-fate-of-the-planet-and-climate-change/",,,,,,,,,"x7215512","grist","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/citizenyid/status/1321785712094683136","Shayna","Jerusalem, Israel","Citizenship isn't a spectator sport. 
American - Israeli",,FALSE,9964,10645,12,113154,77710,2009-12-30 12:15:18,FALSE,,,,"https://pbs.twimg.com/profile_banners/100482942/1540555632","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/486797262274584577/OL6nRrvM_normal.jpeg"
"x100482942","x1321008241925607424",2020-10-27 08:38:02,"citizenyid","The sitting senator form #Iowa doesn't know the price of soybeans. 
#JoniDontKnowBeans <U+0001F997><U+0001F997><U+0001F997>
<U+0001F997><U+0001F997>Maybe I'm not hearing?<U+0001F997><U+0001F997>
<U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997>
<U+0001F997>Where is the federal aid?<U+0001F997>
<U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997>
<U+0001F997>There's a PANDEMIC! <U+0001F997><U+0001F997>
<U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997><U+0001F997> https://t.co/SCWZvjdB0s","Twitter Web App",207,,,,TRUE,FALSE,2,3,,,"Iowa JoniDontKnowBeans",,"twitter.com/nytimes/status…","https://t.co/SCWZvjdB0s","https://twitter.com/nytimes/status/1320933262727020544",,,,,,,,,,,"en","x1320933262727020544","“I’m going to be going to Iowa, be going to Wisconsin, I’m going to Georgia, I’m going to Florida and maybe other places as well,” Joe Biden said during a stop at a voter center in Chester, Pennsylvania. https://t.co/OUn0VclSVs",2020-10-27 03:40:06,"SocialFlow",2244,186,"x807095","nytimes","The New York Times",47775499,899,412293,"New York City","News tips? Share them here: https://t.co/ghL9OoYKMM",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/citizenyid/status/1321008241925607424","Shayna","Jerusalem, Israel","Citizenship isn't a spectator sport. 
American - Israeli",,FALSE,9964,10645,12,113154,77710,2009-12-30 12:15:18,FALSE,,,,"https://pbs.twimg.com/profile_banners/100482942/1540555632","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/486797262274584577/OL6nRrvM_normal.jpeg"
"x100482942","x1321791612209516545",2020-10-29 12:30:52,"citizenyid","Sen. Ernst, who sits on Agriculture Cmte., can’t name price of soybeans. #Iowa #GreenfieldIA
#Jonidontknowbeans but she knows the price of a barrel of oil. https://t.co/6xbmorwoJr via @MSNBC","Twitter for Android",190,,,,FALSE,FALSE,5,3,,,"Iowa GreenfieldIA Jonidontknowbeans",,"msnbc.com/all-in/watch/s…","https://t.co/6xbmorwoJr","https://www.msnbc.com/all-in/watch/sen-ernst-who-sits-on-agriculture-cmte-can-t-name-price-of-soybeans-94016581531",,,,,,,,,"x2836421","MSNBC","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/citizenyid/status/1321791612209516545","Shayna","Jerusalem, Israel","Citizenship isn't a spectator sport. 
American - Israeli",,FALSE,9964,10645,12,113154,77710,2009-12-30 12:15:18,FALSE,,,,"https://pbs.twimg.com/profile_banners/100482942/1540555632","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/486797262274584577/OL6nRrvM_normal.jpeg"
"x1271944552174227456","x1323245531884408833",2020-11-02 12:48:14,"Nov3EvictTrump","#VoteTheresaGreenfield4SenateIA
#JoniDontKnowBeans
#JoniMustGo
#WearAMaskAndGoVoteOr
#DropBallotAtElectionsOffice
#VoteEarly &gt; https://t.co/DDvp9Xd4e1
@GreenfieldIowa
@iowahousedems
@SenateMajority

If anyone blocks access to voting sites, call  866-OUR-VOTE https://t.co/8aWz2Ho12l","Twitter for Android",261,,,,TRUE,FALSE,1,0,,,"VoteTheresaGreenfield4SenateIA JoniDontKnowBeans JoniMustGo WearAMaskAndGoVoteOr DropBallotAtElectionsOffice VoteEarly",,"IWILLVOTE.COM twitter.com/4a_of/status/1…","https://t.co/DDvp9Xd4e1 https://t.co/8aWz2Ho12l","http://IWILLVOTE.COM https://twitter.com/4a_of/status/1323235787958325252",,,,,,,,,"x875025043130068992 x17782124 x29999174","GreenfieldIowa iowahousedems SenateMajority","en","x1323235787958325252","What the fuck #Iowa how in the hell can joni be leading in your state? If you thought you lost a lot of farms to bankruptcy now, give them 4 more years and see how many of you are left!!
@GreenfieldIowa should be your ONLY choice.
#YouDeserveBetterIowa
#VOTE 
#FlipTheSenateBlue",2020-11-02 12:09:31,"Twitter for Android",129,59,"x1134546351956615168","4a_of","Dad Of 4A's",60358,52205,43381,"The corn fields of IL","TODAY WE #VOTE #BidenHarris #NoExcuses #BlueBallot #All3BranchesBlue
followed by @teamPelosi",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Nov3EvictTrump/status/1323245531884408833","#VoteBidenHarris #EvictTrump","Minneapolis, MN","2-fisted SoupWarrior. 
Have Bags, Will Travel
..Yea even unto the dark 'anarchist jurisdictions'. US Soup Force (Ret.).",,FALSE,416,5001,3,69782,43474,2020-06-13 23:17:09,FALSE,,,,"https://pbs.twimg.com/profile_banners/1271944552174227456/1595201285",,"http://pbs.twimg.com/profile_images/1284993148813479937/nVHK9E4b_normal.jpg"
