"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x234929591","x1323831164990345216",2020-11-04 03:35:19,"poeboston",".@MSNBC: 48.4% @SenThomTillis - 47.3% @CalforNC, with 89% reporting in North Carolina senate race. &gt; #bospoli #ncsen #Election2020","Twitter Web App",133,,,,FALSE,FALSE,0,0,,,"bospoli ncsen Election2020",,,,,,,,,,,,,"x2836421 x2964174789 x92397793","MSNBC SenThomTillis CalforNC","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/poeboston/status/1323831164990345216","Dan Currie","","","https://t.co/RD9ufKRXlS",FALSE,1672,1618,152,77671,30195,2011-01-06 22:53:52,FALSE,"https://t.co/RD9ufKRXlS","https://www.facebook.com/poeboston",,"https://pbs.twimg.com/profile_banners/234929591/1556340483","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1122000360808357888/fjgrSSPy_normal.png"
"x25702314","x1323830758650318849",2020-11-04 03:33:43,"EricMGarcia","@AubreyGilleran Absolutely. Ross nearly beat Burr and it was a last minute money drive from National Republican groups. They just scrambled to pick an entirely vanilla candidate. #NCSen","Twitter for iPhone",169,"x1323830536381603844","x495330518","AubreyGilleran",FALSE,FALSE,1,0,,,"NCSen",,,,,,,,,,,,,"x495330518","AubreyGilleran","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/EricMGarcia/status/1323830758650318849","Eric Michael Garcia","Washington, DC","Journalist. Tar Heel. Author: We're Not Broken @HMHCo. Bylines in @washingtonpost, @newrepublic, Semi-good looking. He/Him. EMGarcia2009@gmail.com","https://t.co/mr37h9618t",FALSE,14085,10277,302,110719,87156,2009-03-21 17:44:40,TRUE,"https://t.co/mr37h9618t","https://www.hmhbooks.com/shop/books/Were-Not-Broken/9781328587848",,"https://pbs.twimg.com/profile_banners/25702314/1562949178","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1204809663130284032/MPbMUQdc_normal.jpg"
"x25702314","x1323830530979303425",2020-11-04 03:32:48,"EricMGarcia","In all seriousness, Democrats got what they deserved with Cal Cunningham. Schumer talked about someone in a windowless basement raising money. They wanted someone who seemed inoffensive instead of recruiting a stronger candidate. #NCSen","Twitter for iPhone",236,"x1323830063431864321","x25702314","EricMGarcia",FALSE,FALSE,13,0,,,"NCSen",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/EricMGarcia/status/1323830530979303425","Eric Michael Garcia","Washington, DC","Journalist. Tar Heel. Author: We're Not Broken @HMHCo. Bylines in @washingtonpost, @newrepublic, Semi-good looking. He/Him. EMGarcia2009@gmail.com","https://t.co/mr37h9618t",FALSE,14085,10277,302,110719,87156,2009-03-21 17:44:40,TRUE,"https://t.co/mr37h9618t","https://www.hmhbooks.com/shop/books/Were-Not-Broken/9781328587848",,"https://pbs.twimg.com/profile_banners/25702314/1562949178","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1204809663130284032/MPbMUQdc_normal.jpg"
"x25702314","x1323830063431864321",2020-11-04 03:30:57,"EricMGarcia","Democrats should propose a total and complete shutdown on men running for Senate in North Carolina until they can figure out what the hell is going on. #NCSen","Twitter for iPhone",158,,,,FALSE,FALSE,45,4,,,"NCSen",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/EricMGarcia/status/1323830063431864321","Eric Michael Garcia","Washington, DC","Journalist. Tar Heel. Author: We're Not Broken @HMHCo. Bylines in @washingtonpost, @newrepublic, Semi-good looking. He/Him. EMGarcia2009@gmail.com","https://t.co/mr37h9618t",FALSE,14085,10277,302,110719,87156,2009-03-21 17:44:40,TRUE,"https://t.co/mr37h9618t","https://www.hmhbooks.com/shop/books/Were-Not-Broken/9781328587848",,"https://pbs.twimg.com/profile_banners/25702314/1562949178","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1204809663130284032/MPbMUQdc_normal.jpg"
"x2741404670","x1323830422971641861",2020-11-04 03:32:23,"DagTag","@wanderful_thing @nomadicmatt Sadly @CalforNC's Sunday School Sexting Scandal seems to have killed his chances to join the @SenateDems Tillis is currently ahead in #NCpol by a larger margin than Trump <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D> #NCSen","Twitter Web App",183,"x1323829024838266880","x3325429450","wanderful_thing",FALSE,FALSE,0,0,,,"NCpol NCSen",,,,,,,,,,,,,"x3325429450 x16589148 x92397793 x73238146","wanderful_thing nomadicmatt CalforNC SenateDems","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DagTag/status/1323830422971641861","Dag Tag","","lifelesson: you'll talk way more  than you'll f*ck #choosewisely",,FALSE,1,102,0,304,118,2014-08-18 05:49:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/2741404670/1526097468","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/995148625553469440/zJz2tCNH_normal.jpg"
"x1119823289512120321","x1323830144818012161",2020-11-04 03:31:16,"AdamDodgers","looks like north carolina going red. For both president and senate. Thom Tillis with the win. Goddamnit. #Election2020 #ElectionDay #PresidentialElection2020 #NCSen","Twitter Web App",164,,,,FALSE,FALSE,1,0,,,"Election2020 ElectionDay PresidentialElection2020 NCSen",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AdamDodgers/status/1323830144818012161","LA CHAMPIONSHIP SZN(Dodgers WON)(he/him) <U+0001F9E2>","Watching a Dodgers game","LA Sports fan, #CPBL fan(Wei Chuan Dragons), Maccabi fan, classical musician, #Biden2020, #Yang2024, 18+ vote","https://t.co/TuEMDkhScx",FALSE,2142,4951,8,10930,8828,2019-04-21 04:40:52,FALSE,"https://t.co/TuEMDkhScx","http://vote.org",,"https://pbs.twimg.com/profile_banners/1119823289512120321/1584254728","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1320981823451664385/kfgslm0p_normal.jpg"
"x16377693","x1323830121686597632",2020-11-04 03:31:11,"sistertoldjah","With 87% reporting, Tillis leads Cunningham by 64,000 votes in #NCSEN race and Trump leads Biden by 44,000. #ncpol","Twitter Web App",114,,,,FALSE,FALSE,64,10,,,"NCSEN ncpol",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sistertoldjah/status/1323830121686597632","Sister Toldjah <U+0001F601>","Charlotte, North Carolina","<U+2764><U+FE0F>politics/pop culture/the South. Media critic.  @RedState @LegInsurrection contributor. @nsjnews columnist.  @TheIJR/@PJMedia_com alum. Same handle on Parler.","https://t.co/KvCm0vvSZJ",FALSE,38928,3042,995,306406,26936,2008-09-20 13:49:46,FALSE,"https://t.co/KvCm0vvSZJ","http://sistertoldjah.com",,"https://pbs.twimg.com/profile_banners/16377693/1602680112","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1210554082391449601/z3sEr6R2_normal.jpg"
"x16377693","x1323789167101431811",2020-11-04 00:48:26,"sistertoldjah","Political analysts saying ""North Carolina will be the state to watch tonight"" are not helping my nerves any. #ncpol #ncsen","Twitter Web App",122,,,,FALSE,FALSE,39,0,,,"ncpol ncsen",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sistertoldjah/status/1323789167101431811","Sister Toldjah <U+0001F601>","Charlotte, North Carolina","<U+2764><U+FE0F>politics/pop culture/the South. Media critic.  @RedState @LegInsurrection contributor. @nsjnews columnist.  @TheIJR/@PJMedia_com alum. Same handle on Parler.","https://t.co/KvCm0vvSZJ",FALSE,38928,3042,995,306406,26936,2008-09-20 13:49:46,FALSE,"https://t.co/KvCm0vvSZJ","http://sistertoldjah.com",,"https://pbs.twimg.com/profile_banners/16377693/1602680112","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1210554082391449601/z3sEr6R2_normal.jpg"
"x16377693","x1323821880319627264",2020-11-04 02:58:26,"sistertoldjah","Apologies on that last tweet. 75% reporting, not 69%. Was looking at the wrong number (for #NCSEN results) #NCPOL","Twitter Web App",113,"x1323821300863901697","x16377693","sistertoldjah",FALSE,FALSE,14,0,,,"NCSEN NCPOL",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sistertoldjah/status/1323821880319627264","Sister Toldjah <U+0001F601>","Charlotte, North Carolina","<U+2764><U+FE0F>politics/pop culture/the South. Media critic.  @RedState @LegInsurrection contributor. @nsjnews columnist.  @TheIJR/@PJMedia_com alum. Same handle on Parler.","https://t.co/KvCm0vvSZJ",FALSE,38928,3042,995,306406,26936,2008-09-20 13:49:46,FALSE,"https://t.co/KvCm0vvSZJ","http://sistertoldjah.com",,"https://pbs.twimg.com/profile_banners/16377693/1602680112","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1210554082391449601/z3sEr6R2_normal.jpg"
"x16377693","x1323828491025027074",2020-11-04 03:24:42,"sistertoldjah","They're just waiting for the opportunity to dig votes out of the trunk. #ncpol #ncsen https://t.co/PumkLzBRJc","Twitter Web App",85,,,,TRUE,FALSE,19,4,,,"ncpol ncsen",,"twitter.com/JoeBrunoWSOC9/…","https://t.co/PumkLzBRJc","https://twitter.com/JoeBrunoWSOC9/status/1323825564390752256",,,,,,,,,,,"en","x1323825564390752256","Only 41 of Wake County's 206 precincts have reported so far",2020-11-04 03:13:04,"Twitter Web App",388,112,"x43332560","JoeBrunoWSOC9","Joe Bruno",26237,3589,70617,"Charlotte, NC","Passionate reporter @wsoctv covering government & breaking news. Cronkite, duPont, Emmy & Polk winner. Forbes 30U30. BBBS big. Elon grad. Joe.Bruno@wsoc-tv.com",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sistertoldjah/status/1323828491025027074","Sister Toldjah <U+0001F601>","Charlotte, North Carolina","<U+2764><U+FE0F>politics/pop culture/the South. Media critic.  @RedState @LegInsurrection contributor. @nsjnews columnist.  @TheIJR/@PJMedia_com alum. Same handle on Parler.","https://t.co/KvCm0vvSZJ",FALSE,38928,3042,995,306406,26936,2008-09-20 13:49:46,FALSE,"https://t.co/KvCm0vvSZJ","http://sistertoldjah.com",,"https://pbs.twimg.com/profile_banners/16377693/1602680112","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1210554082391449601/z3sEr6R2_normal.jpg"
