"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x833473679170236416","x1323801469217247232",2020-11-04 01:37:19,"JuliannBudimir","@stevebullockmt We want #SteveBullock for #Senate!!!  He is a fantastic and #inspiring #leader!  Please vote #Bullock for #leadership and #hope!

#MT #Montana .@GovernorBullock #ElectionDay #ElectionDay2020","Twitter Web App",190,"x1323792076098670594","x1235630338875052034","stevebullockmt",FALSE,FALSE,0,0,,,"SteveBullock Senate inspiring leader Bullock leadership hope MT Montana ElectionDay ElectionDay2020",,,,,,,,,,,,,"x1235630338875052034 x111721601","stevebullockmt GovernorBullock","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JuliannBudimir/status/1323801469217247232","Juliann Budimir","","#UCLA alumna #creative and technical #writer  #Photography often inspires my #poetry - Please #follow on #Instagram for more #photos https://t.co/63iqRRFRXE","https://t.co/sEzxjCfEHT",FALSE,95,191,1,1485,4467,2017-02-20 00:29:45,FALSE,"https://t.co/sEzxjCfEHT","https://juliannbudimir.wordpress.com/",,"https://pbs.twimg.com/profile_banners/833473679170236416/1487551642",,"http://pbs.twimg.com/profile_images/833476055524528128/LAcZ2tUW_normal.jpg"
"x23417155","x1323751316963921920",2020-11-03 22:18:02,"dannykastner","Cabaret style voter engagement!! Still makin’ sure people get out and vote!! #mikecooney #stevebullock #kathleenwilliams #bluewave #montana #406votes @ Saint Ignatius, Montana https://t.co/VLuxmSmGmY","Instagram",199,,,,FALSE,FALSE,0,0,,,"mikecooney stevebullock kathleenwilliams bluewave montana 406votes",,"instagram.com/p/CHJRpZtJK19/…","https://t.co/VLuxmSmGmY","https://www.instagram.com/p/CHJRpZtJK19/?igshid=tr21x2qmozuk",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/d2ddff69682ae534.json","Montana","Montana, USA","admin","United States","US","47.32 -114.093","-114.093 47.32","-116.050004 -104.039563 -104.039563 -116.050004 44.35821 44.35821 49.00139 49.00139","https://twitter.com/dannykastner/status/1323751316963921920","Danny Kastner","Montana","Built this city on rock n' roll.","https://t.co/sxPiTnqEfj",FALSE,340,268,16,890,645,2009-03-09 09:07:08,FALSE,"https://t.co/sxPiTnqEfj","https://kastner.com",,"https://pbs.twimg.com/profile_banners/23417155/1520286565","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1211123511563051008/2V6lJR2h_normal.jpg"
"x23417155","x1321536812901371905",2020-10-28 19:38:23,"dannykastner","You can’t suppress the vote, baby!! #vote #stevebullock #montana #piano #songwriter @ Saint Ignatius, Montana https://t.co/Sv0hMv3uUO","Instagram",133,,,,FALSE,FALSE,0,0,,,"vote stevebullock montana piano songwriter",,"instagram.com/p/CG5iyStJgmt/…","https://t.co/Sv0hMv3uUO","https://www.instagram.com/p/CG5iyStJgmt/?igshid=1f137a8uebkoe",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/d2ddff69682ae534.json","Montana","Montana, USA","admin","United States","US","47.32 -114.093","-114.093 47.32","-116.050004 -104.039563 -104.039563 -116.050004 44.35821 44.35821 49.00139 49.00139","https://twitter.com/dannykastner/status/1321536812901371905","Danny Kastner","Montana","Built this city on rock n' roll.","https://t.co/sxPiTnqEfj",FALSE,340,268,16,890,645,2009-03-09 09:07:08,FALSE,"https://t.co/sxPiTnqEfj","https://kastner.com",,"https://pbs.twimg.com/profile_banners/23417155/1520286565","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1211123511563051008/2V6lJR2h_normal.jpg"
"x62539809","x1323740776979988486",2020-11-03 21:36:09,"jonbirger1","When US Senate candidates #AlGross (Alaska), #SarahGideon (Maine), #JohnHickenlooper (Colorado) and #SteveBullock (Montana) are all win tonight, I propose they join forces to form The Winterest Group — the normal Democrat, anti-Jew-hate, pro-winter-sports answer to The Squad.","Twitter Web App",276,,,,FALSE,FALSE,0,0,,,"AlGross SarahGideon JohnHickenlooper SteveBullock",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jonbirger1/status/1323740776979988486","Jon Birger, author","jonbirger.com","Author of MAKE YOUR MOVE (2021) and DATE-ONOMICS • Accidental dating guru • Keynote speaker • Journalist #MakeYourMoveBook #DateOnomics","https://t.co/6EuWouCNgn",FALSE,2993,4146,79,7512,11470,2009-08-03 15:28:40,FALSE,"https://t.co/6EuWouCNgn","https://www.amazon.com/gp/product/1948836904/ref=dbs_a_def_rwt_bibl_vppi_i1",,"https://pbs.twimg.com/profile_banners/62539809/1595797384","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/600421026434928640/igVKDn6w_normal.jpg"
"x129315464","x1323733384061833216",2020-11-03 21:06:47,"QuentinEsme","For new time voters or anyone voting today, please don’t forget to focus on our Senate. If God forbid Trump wins, we need to have control in the Senate. #SenateRace2020  #MarkKelly #SteveBullock #SaraGideon","Twitter Web App",206,,,,FALSE,FALSE,0,0,,,"SenateRace2020 MarkKelly SteveBullock SaraGideon",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/QuentinEsme/status/1323733384061833216","Quentin Esme Brown","London, England","All men are created equal, yet some men have yet to accept this.",,FALSE,347,263,4,542,124,2010-04-03 22:22:56,FALSE,,,,"https://pbs.twimg.com/profile_banners/129315464/1603669885","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1320513320823197696/OuCttw_b_normal.jpg"
"x322970226","x1323708368612167686",2020-11-03 19:27:23,"eifc7","@stevebullockmt @ProjectLincoln Very impressive speech @stevebullockmt! #stevebullock #FlipTheSenateBlue #VoteBidenHarrisToSaveAmerica","Twitter for iPhone",102,"x1323476285058768896","x1235630338875052034","stevebullockmt",FALSE,FALSE,0,0,,,"stevebullock FlipTheSenateBlue VoteBidenHarrisToSaveAmerica",,,,,,,,,,,,,"x1235630338875052034 x1205226529455632385 x1235630338875052034","stevebullockmt ProjectLincoln stevebullockmt","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/eifc7/status/1323708368612167686","Eileen Winters","","Political Junkie Who Loves Pop Culture, Entertainment, & Art",,FALSE,633,427,121,6675,8596,2011-06-24 01:40:11,FALSE,,,,"https://pbs.twimg.com/profile_banners/322970226/1603939507","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1321657540753694720/D0adNNoA_normal.jpg"
"x1289678247962251264","x1323634263460319233",2020-11-03 14:32:55,"s_auriga","@stevebullockmt @ProjectLincoln Montana please vote for #SteveBullock
The right human to serve Montana in the US Senate <U+0001F4AF>","Twitter Web App",89,"x1323476285058768896","x1235630338875052034","stevebullockmt",FALSE,FALSE,0,0,,,"SteveBullock",,,,,,,,,,,,,"x1235630338875052034 x1205226529455632385","stevebullockmt ProjectLincoln","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/s_auriga/status/1323634263460319233","Auriga S","","It’s very simple: Cover up the two holes in your face that could shed or take in the virus #WearAMask #MasksSaveLives <U+0001F4AF><U+0001F4AF><U+0001F4AF><U+2764><U+FE0F><U+0001F637>",,FALSE,30,217,0,2076,6166,2020-08-01 21:44:18,FALSE,,,,"https://pbs.twimg.com/profile_banners/1289678247962251264/1596319254",,"http://pbs.twimg.com/profile_images/1289785732794654723/SVmmBsL0_normal.jpg"
"x2867741109","x1323631891761672192",2020-11-03 14:23:29,"WestDatesEast","@RiffDC @devancoggan Followed by #MarkKelly, #SaraGideon, #JohnHickenlooper, #RaphaelWarnock, #JonOssoff #TheresaGreenfield #SteveBullock, #calcunningham, #JamieHarrison4Senate, #DougJones2020 #BarbaraBollier, #MJHegarForTX #AlGross https://t.co/xMk3t3RH7t","Twitter Web App",211,"x1323628438712889347","x860532270","RiffDC",FALSE,FALSE,1,0,,,"MarkKelly SaraGideon JohnHickenlooper RaphaelWarnock JonOssoff TheresaGreenfield SteveBullock calcunningham JamieHarrison4Senate DougJones2020 BarbaraBollier MJHegarForTX AlGross",,,,,"http://pbs.twimg.com/tweet_video_thumb/El58L9EUcAAtlrK.jpg","https://t.co/xMk3t3RH7t","https://twitter.com/WestDatesEast/status/1323631891761672192/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/El58L9EUcAAtlrK.jpg","https://t.co/xMk3t3RH7t","https://twitter.com/WestDatesEast/status/1323631891761672192/photo/1",,"x860532270 x17374309","RiffDC devancoggan","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/WestDatesEast/status/1323631891761672192","Autumn Ashbough","Los Angeles","WF writing about the humorous perils of life with Chinese-American significant other. She/her.","https://t.co/9SpxWzRuUK",FALSE,261,594,15,19307,24427,2014-11-08 18:53:43,FALSE,"https://t.co/9SpxWzRuUK","http://westdateseast.com",,"https://pbs.twimg.com/profile_banners/2867741109/1508019104","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/698385245167443969/TTxC63ND_normal.jpg"
"x1003153310","x1323618425634250755",2020-11-03 13:29:58,"rhs718","@stevebullockmt #Bullock for #Senate and for #Montana.  As they used to say in show biz, break a leg!    #FlipTheSenate #BlueWave2020 #Helena #Butte #Bozeman #Glendive #SteveBullock","Twitter for iPhone",181,,"x1235630338875052034","stevebullockmt",FALSE,FALSE,0,0,,,"Bullock Senate Montana FlipTheSenate BlueWave2020 Helena Butte Bozeman Glendive SteveBullock",,,,,,,,,,,,,"x1235630338875052034","stevebullockmt","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rhs718/status/1323618425634250755","718","","",,FALSE,45,7,25,11067,0,2012-12-11 02:54:55,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/2966068167/e5cf6d466d32eaf80dbddcaadbed4990_normal.jpeg"
"x54228009","x1323587853864108032",2020-11-03 11:28:30,"ToddTemkin","Last minute predictions:

Tonight #Texas shocks the world (and it’s not even that close).

#SteveBullock flies under the radar and wins #MTSEN 

If #Biden gets over 50% in GA so can #Ossoff. 

If it’s a #BlueWave2020 keep an eye on Alaska","Twitter for iPhone",238,,,,FALSE,FALSE,13,1,,,"Texas SteveBullock MTSEN Biden Ossoff BlueWave2020",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/008be613029d4ca5.json","Viña del Mar","Viña del Mar, Chile","city","Chile","CL","NA NA","NA NA","-71.5898331 -71.4414593 -71.4414593 -71.5898331 -33.1045519 -33.1045519 -32.9481633 -32.9481633","https://twitter.com/ToddTemkin/status/1323587853864108032","ReadAPoemToday","Valparaiso, Chile","Poetry, philanthropy, slow living. A Wisconsin boy raising alpacas in Patagonia. One day I hope to run the Milwaukee Brewer Sausage Race as Chorizo. GO PACKERS!","https://t.co/kx2g7GNpI5",FALSE,16191,13538,157,11948,44935,2009-07-06 15:04:41,FALSE,"https://t.co/kx2g7GNpI5","http://www.morireenvalparaiso.blogspot.com",,,"http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1104387685265956865/iCgZGxSI_normal.jpg"
