"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x14274161","x1323824966505095168",2020-11-04 03:10:42,"JediTimon","#COPolitics #Election2020 #TeamHick https://t.co/4EawY79piY","Twitter for iPad",35,,,,TRUE,FALSE,0,0,,,"COPolitics Election2020 TeamHick",,"twitter.com/cbsdenver/stat…","https://t.co/4EawY79piY","https://twitter.com/cbsdenver/status/1323817683150729218",,,,,,,,,,,"und","x1323817683150729218","#Election2020 Results: CBS News says Democrat John Hickenlooper beat Republican Cory Gardner to represent Colorado in the U.S. Senate.
#CBS4 #copolitics https://t.co/GnxKi50b7l",2020-11-04 02:41:45,"TweetDeck",84,13,"x16313592","CBSDenver","CBSDenver",216697,14225,194279,"Denver, Colorado","Covering Colorado First. #Denver area news, #BreakingNews, #Colorado, #cowx & more. Home of CBSN Denver – everything Colorado streaming 24/7 on https://t.co/QpjgBbiqpG",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JediTimon/status/1323824966505095168","Tim Schram","Colorado","Marketing Director, Corporate Trainer, Disney and Star Wars fan, traveler, enjoys good food and wine. Hakuna Matata!","https://t.co/r96rAZD15A",FALSE,310,763,21,15155,32330,2008-04-01 12:07:59,FALSE,"https://t.co/r96rAZD15A","http://about.me/disneytimon",,"https://pbs.twimg.com/profile_banners/14274161/1600441860","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1314320168550461440/f1RPZHNr_normal.jpg"
"x14274161","x1323680857043791872",2020-11-03 17:38:03,"JediTimon","I’m surprised @SenCoryGardner could find cities in Colorado. @CoryGardner #COPolitics #TeamHick #Election2020 #Vote https://t.co/mEis6CoDMO https://t.co/AiAr1LcxIF","Twitter for iPad",139,,,,TRUE,FALSE,0,0,,,"COPolitics TeamHick Election2020 Vote",,"twitter.com/dillonmthomas/…","https://t.co/mEis6CoDMO","https://twitter.com/dillonmthomas/status/1323672548446556160","http://pbs.twimg.com/media/El6otSFVMAQuF2t.jpg","https://t.co/AiAr1LcxIF","https://twitter.com/JediTimon/status/1323680857043791872/photo/1","photo","http://pbs.twimg.com/media/El6otSFVMAQuF2t.jpg http://pbs.twimg.com/media/El6otSFVMAAehiU.jpg http://pbs.twimg.com/media/El6otSGU4AADFdB.jpg","https://t.co/AiAr1LcxIF https://t.co/AiAr1LcxIF https://t.co/AiAr1LcxIF","https://twitter.com/JediTimon/status/1323680857043791872/photo/1 https://twitter.com/JediTimon/status/1323680857043791872/photo/1 https://twitter.com/JediTimon/status/1323680857043791872/photo/1",,"x235217558 x20879626","SenCoryGardner CoryGardner","en","x1323672548446556160","<U+0001F5F3>THE FINAL PUSH<U+0001F5F3>

Senator @CoryGardner has been hard at work all morning to try and nab every last vote he can.

He has already stopped in three Northern #Colorado cities before 9am...and his caravan is headed south toward the metro through the day. 

@CBSDenver #Election2020 https://t.co/0jIt8UVgUr",2020-11-03 17:05:02,"Twitter for iPhone",113,31,"x2533381116","DillonMThomas","Dillon Thomas",2888,445,5567,"CO <U+27A1><U+FE0F> Fayetteville, AR <U+27A1><U+FE0F> CO","1st String Reporter-MMJ/2nd String Anchor @CBSDenver | Stories On TV/Web/Alexa | Colorado Native/ColoState ‘14 | Likely Stuck In I-25 Traffic | Go @Nuggets! | †",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JediTimon/status/1323680857043791872","Tim Schram","Colorado","Marketing Director, Corporate Trainer, Disney and Star Wars fan, traveler, enjoys good food and wine. Hakuna Matata!","https://t.co/r96rAZD15A",FALSE,310,763,21,15155,32330,2008-04-01 12:07:59,FALSE,"https://t.co/r96rAZD15A","http://about.me/disneytimon",,"https://pbs.twimg.com/profile_banners/14274161/1600441860","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1314320168550461440/f1RPZHNr_normal.jpg"
"x14274161","x1323627021398781952",2020-11-03 14:04:08,"JediTimon","Today, #Colorado will vote out #CoryGardner, helping #FlipTheSenate by getting rid of the #CorruptGOP. #VOTE 
#COPolitics #Election2020 #TeamHick @SenCoryGardner @CoryGardner @Hickenlooper https://t.co/Zxa72i9ZT6","Twitter for iPad",188,,,,FALSE,FALSE,0,0,,,"Colorado CoryGardner FlipTheSenate CorruptGOP VOTE COPolitics Election2020 TeamHick",,,,,"http://pbs.twimg.com/media/El53wohUcAQs1L9.jpg","https://t.co/Zxa72i9ZT6","https://twitter.com/JediTimon/status/1323627021398781952/photo/1","photo","http://pbs.twimg.com/media/El53wohUcAQs1L9.jpg","https://t.co/Zxa72i9ZT6","https://twitter.com/JediTimon/status/1323627021398781952/photo/1",,"x235217558 x20879626 x117839957","SenCoryGardner CoryGardner Hickenlooper","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JediTimon/status/1323627021398781952","Tim Schram","Colorado","Marketing Director, Corporate Trainer, Disney and Star Wars fan, traveler, enjoys good food and wine. Hakuna Matata!","https://t.co/r96rAZD15A",FALSE,310,763,21,15155,32330,2008-04-01 12:07:59,FALSE,"https://t.co/r96rAZD15A","http://about.me/disneytimon",,"https://pbs.twimg.com/profile_banners/14274161/1600441860","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1314320168550461440/f1RPZHNr_normal.jpg"
"x2360477612","x1323822021805944832",2020-11-04 02:59:00,"monajhart","One small step for Colorado, one giant leap for the US. Let's go, @Hickenlooper!! #TeamHick #TeamUSA #cosen https://t.co/s8TeysTPKh","Twitter for Android",107,,,,FALSE,FALSE,1,0,,,"TeamHick TeamUSA cosen",,,,,"http://pbs.twimg.com/tweet_video_thumb/El8pG-mUYAAIRwF.jpg","https://t.co/s8TeysTPKh","https://twitter.com/monajhart/status/1323822021805944832/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/El8pG-mUYAAIRwF.jpg","https://t.co/s8TeysTPKh","https://twitter.com/monajhart/status/1323822021805944832/photo/1",,"x117839957","Hickenlooper","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/monajhart/status/1323822021805944832","Mona Qureshi-Hart","Denver","Wolverine, IP Strategist, Lover of Coffee, Cooking, Gardening, Fashion, Live Music, & Good Hikes, GBM widow and advocate. Personal Twitter page.",,FALSE,435,1255,38,7297,17611,2014-02-25 04:12:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/2360477612/1589227687","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1049704332310933504/VXyv5jws_normal.jpg"
"x825488341197942784","x1323821699243016194",2020-11-04 02:57:43,"Vmbritsch","#TeamHick #Hickenlooper #CoSenate","Twitter for Android",33,,,,FALSE,FALSE,1,0,,,"TeamHick Hickenlooper CoSenate",,,,,,,,,,,,,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Vmbritsch/status/1323821699243016194","#Vote -200k+ dead #BidenHarris2020 #Vote","Greater Denver, CO","Mother, Grandmother, #AmericaOrTrump #AmericaEveryTime, #GoJoe #TeamHick Thoughts are my own RT is not Agreement  NO LISTS #Factivist",,FALSE,10233,10215,10,402460,34677,2017-01-28 23:38:52,FALSE,,,,"https://pbs.twimg.com/profile_banners/825488341197942784/1528037263","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1301865720637083650/QKLjoAzt_normal.jpg"
"x1270507350793711617","x1323819846996496384",2020-11-04 02:50:21,"AHorwitch","yeet !! so proud to be a part of this team #teamhick https://t.co/UP0yQmLHjw","Twitter for iPhone",52,,,,TRUE,FALSE,1,0,,,"teamhick",,"twitter.com/ap_politics/st…","https://t.co/UP0yQmLHjw","https://twitter.com/ap_politics/status/1323818304008605696",,,,,,,,,,,"en","x1323818304008605696","BREAKING: Democrat John Hickenlooper wins election to U.S. Senate from Colorado, beating incumbent Sen. Cory Gardner. #APracecall at 7:42 p.m. MST. #Election2020 #COelection https://t.co/lGfinjTqT4",2020-11-04 02:44:13,"AP Race Calls Bot - AP Politics",2324,489,"x426802833","AP_Politics","AP Politics",448757,616,81478,"Washington, D.C.","Highlights from AP's coverage of U.S. politics and government in words, photos and video. Managed by the Washington bureau. https://t.co/lTcEv1VGoB",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AHorwitch/status/1323819846996496384","Allison Horwitch","","just getting after it in the Colorado mountains and Florida sunshine<U+2600><U+FE0F>",,FALSE,18,88,0,40,252,2020-06-10 00:05:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/1270507350793711617/1592506683",,"http://pbs.twimg.com/profile_images/1282807289423036416/ibP8gVRT_normal.jpg"
"x616517986","x1323817782685835265",2020-11-04 02:42:09,"runfilrun7","#TeamHick https://t.co/cQnCTx95In","Twitter for iPhone",9,,,,TRUE,FALSE,0,0,,,"TeamHick",,"twitter.com/9news/status/1…","https://t.co/cQnCTx95In","https://twitter.com/9news/status/1323817414975541249",,,,,,,,,,,"und","x1323817414975541249","NBC News projects Democrat John Hickenlooper has defeated incumbent Republican Cory Gardner.: https://t.co/4d4vPRIa78",2020-11-04 02:40:41,"TweetDeck",164,9,"x19032473","9NEWS","9NEWS Denver",451826,953,480506,"Denver, Colorado","The official Twitter of 9NEWS in Denver, CO. Interact with us! #BeOn9 #9WX We also retweet the #9NEWS team.",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/runfilrun7/status/1323817782685835265","phillygoat","","runner, manager @BPRUNCO, pyrogropher, snowflake",,FALSE,342,1082,8,13130,62673,2012-06-23 22:00:09,FALSE,,,,"https://pbs.twimg.com/profile_banners/616517986/1586721678","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1249427386384273412/-37eeln2_normal.jpg"
"x616517986","x1323814811436638208",2020-11-04 02:30:20,"runfilrun7","#teamhick https://t.co/1PF5mCNo3U","Twitter for iPhone",9,,,,TRUE,FALSE,0,0,,,"teamhick",,"twitter.com/joyannreid/sta…","https://t.co/1PF5mCNo3U","https://twitter.com/joyannreid/status/1323814458448322560",,,,,,,,,,,"und","x1323814458448322560","Dems have picked up a Senate seat: Hickenlooper beats Gardner in Colorado.",2020-11-04 02:28:56,"Twitter for iPhone",11138,551,"x49698134","JoyAnnReid","Joy VOTE & MASK UP!! Reid <U+0001F637>)",1876265,6592,168452,"USA","""You must be bold, brave, and courageous and find a way... to get in good trouble."" -John Lewis #TheReidOut <U+2764><U+FE0F> #reiders (RTs/likes are not always endorsements)",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/runfilrun7/status/1323814811436638208","phillygoat","","runner, manager @BPRUNCO, pyrogropher, snowflake",,FALSE,342,1082,8,13130,62673,2012-06-23 22:00:09,FALSE,,,,"https://pbs.twimg.com/profile_banners/616517986/1586721678","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1249427386384273412/-37eeln2_normal.jpg"
"x3336128357","x1323816219842142209",2020-11-04 02:35:56,"karensdean","#TeamHick <U+0001F44F> https://t.co/jAWPKhoWo7","Twitter for iPhone",11,,,,TRUE,FALSE,0,0,,,"TeamHick",,"twitter.com/channel2kwgn/s…","https://t.co/jAWPKhoWo7","https://twitter.com/channel2kwgn/status/1323815789581905920",,,,,,,,,,,"und","x1323815789581905920","#BREAKING: Former Gov. Hickenlooper defeats Sen. Gardner, Fox News reports. <U+27A1><U+FE0F> Get full results and live coverage: https://t.co/lWVzqiL6B4 | On TV: FOX31 &amp; Channel 2 | #Election2020 #Vote2020 #COvotes #COpolitics",2020-11-04 02:34:14,"TweetDeck",7,2,"x56878013","channel2kwgn","Channel 2 KWGN",47437,294,110086,"Denver, Colorado","Colorado's Own Channel 2 #KWGN, provides #Breaking News, #COwx, #COtraffic, sports, entertainment and CW Network programming.",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/karensdean/status/1323816219842142209","Karen Dean","Colorado, Wyoming","Tax lawyer, skier #Lincolnvoter. “Women belong in all places where decisions are being made.” -RBG",,FALSE,39,1277,0,570,2427,2015-06-20 04:23:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/3336128357/1594765277","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1312573125113118720/m3hQ5Pze_normal.jpg"
"x35027698","x1323815903880949760",2020-11-04 02:34:41,"ErinMcPike","YAY @Hickenlooper is officially a senator-elect. Proud of Hick and all #TeamHick past and present!","Twitter Web App",98,,,,FALSE,FALSE,17,0,,,"TeamHick",,,,,,,,,,,,,"x117839957","Hickenlooper","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ErinMcPike/status/1323815903880949760","Erin McPike","Washington, DC","media/political strategist, longtime national politics journalist, storyteller, candy corn connoisseur, Cincinnati native, aspiring screenwriter","https://t.co/OKMnPBTir6",FALSE,26241,3463,911,13659,6949,2009-04-24 20:21:13,TRUE,"https://t.co/OKMnPBTir6","http://swansg.com/",,"https://pbs.twimg.com/profile_banners/35027698/1459559938","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/850481076581617665/JJWj4ypU_normal.jpg"
