"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x122728709","x1323829150696775681",2020-11-04 03:27:19,"n64k","BREAKING: We're taking #NorthCarolina. Almost everything left to count is #RDU or #CLT, both of which we're winning by nearly two to one. Add #NC to the #Biden column. Also #Cunningham likely beats #Tillis in the same wave.","Twitter for Android",223,,,,FALSE,FALSE,1,0,,,"NorthCarolina RDU CLT NC Biden Cunningham Tillis",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/n64k/status/1323829150696775681","Fielding Mellish","United States","Bearded Tinpot Dictator of #Banana #Republic (or just #Bananas). #Atheist/#Physicist/#Historian/#Debunker <U+0001F30A>#Biden2020<U+0001F30A> HEY #COVIDIOTS: NOT #MASKING = #MURDER!","https://t.co/0QyJ1tLG66",FALSE,3027,466,10,7040,9655,2010-03-13 17:55:35,FALSE,"https://t.co/0QyJ1tLG66","https://twitter.com/n64k",,"https://pbs.twimg.com/profile_banners/122728709/1582212118","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1223404203848228866/nV6KotSn_normal.jpg"
"x282834921","x1323825315874017281",2020-11-04 03:12:05,"Boston119","Come on NC!!!! #Trump  #Tillis","Twitter for iPhone",30,,,,FALSE,FALSE,3,1,,,"Trump Tillis",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Boston119/status/1323825315874017281","Lisa","North Carolina","All opinions are my own. Photography, football, racing are my thing. I'm @LBickfordPhotos #NHRA #MAGA #KAG #LiveLaughLove #JustCallMeNonna I’m a #ChumpForTrump","https://t.co/OKLliDFK2n",FALSE,2363,2193,40,51117,29718,2011-04-16 01:25:05,FALSE,"https://t.co/OKLliDFK2n","https://www.youravon.com/lisabickford",,"https://pbs.twimg.com/profile_banners/282834921/1601783245","http://abs.twimg.com/images/themes/theme17/bg.gif","http://pbs.twimg.com/profile_images/1282499851352256512/DqCqkQ8G_normal.jpg"
"x932269488556429312","x1323825124328513537",2020-11-04 03:11:19,"shellphiILED","North Carolina!! Lets go Red!!! <U+2764><U+FE0F><U+0001F64F><U+0001F1FA><U+0001F1F8> #tillis @realDonaldTrump","Twitter for iPhone",62,,,,FALSE,FALSE,1,0,,,"tillis",,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/512a8a4a4c4b4be0.json","Charlotte","Charlotte, NC","city","United States","US","NA NA","NA NA","-81.046876 -80.646695 -80.646695 -81.046876 35.001706 35.001706 35.416412 35.416412","https://twitter.com/shellphiILED/status/1323825124328513537","Shelly Fulop<U+0001F1FA><U+0001F1F8><U+0001F1ED><U+0001F1FA>","","Notre Dame fan for life<U+2618><U+FE0F>!|",,FALSE,60,204,0,808,982,2017-11-19 15:29:01,FALSE,,,,"https://pbs.twimg.com/profile_banners/932269488556429312/1599074638","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1301239974638030848/gtBSByhW_normal.jpg"
"x35377187","x1323822306519621633",2020-11-04 03:00:07,"Faino","Come on #NorthCarolina!  #Tillis https://t.co/6un9fYyxMA","Twitter for iPhone",32,,,,TRUE,FALSE,1,0,,,"NorthCarolina Tillis",,"twitter.com/calebhowe/stat…","https://t.co/6un9fYyxMA","https://twitter.com/calebhowe/status/1323821266051149824",,,,,,,,,,,"en","x1323821266051149824","North Carolina keeping *everyone* biting their nails tonight. https://t.co/yD1nUsunu1",2020-11-04 02:55:59,"Twitter Web App",28,3,"x14964429","CalebHowe","Caleb Howe",30825,2789,87667,"N.C.","Senior Fellow of Wearing American Flag shirts. Ed. Mediaite. Write/Pub'd Blaze, PJM, USA Today, AmSpec, DW, RedState, NRO, fortune cookies, manifestos, napkins.",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Faino/status/1323822306519621633","<U+0001D575><U+0001D58A><U+0001D597><U+0001D58A><U+0001D592><U+0001D59E> <U+0001D571><U+0001D586><U+0001D58E><U+0001D593>","The Republic of TEXAS","Uncle Buck is my favorite movie. I don’t care what you think. #GoDynamo #USMNT #GoStros #TitanUp #GigEm",,FALSE,1316,2149,17,17368,2354,2009-04-26 02:24:01,FALSE,,,,"https://pbs.twimg.com/profile_banners/35377187/1574612039","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1236506562862161921/Y-ZhsfxQ_normal.jpg"
"x826378796823564288","x1323817696941629440",2020-11-04 02:41:48,"pat7boy","#ElectionDay
#ElectionNight
#Elections2020

UPDATE   1/

#Trump about to win #Florida
Already lost #Colorado : 1st turning point tonight

2  #GOP Senators down : #Gardner CO and #Tillis NC

#JoeBidenKamalaHarris2020  131
#Trump2020  94 https://t.co/mJYaxRTwnr","Twitter for Android",235,,,,FALSE,FALSE,0,0,,,"ElectionDay ElectionNight Elections2020 Trump Florida Colorado GOP Gardner Tillis JoeBidenKamalaHarris2020 Trump2020",,,,,"http://pbs.twimg.com/media/El8lLbkVcAAP8jS.jpg","https://t.co/mJYaxRTwnr","https://twitter.com/pat7boy/status/1323817696941629440/photo/1","photo","http://pbs.twimg.com/media/El8lLbkVcAAP8jS.jpg","https://t.co/mJYaxRTwnr","https://twitter.com/pat7boy/status/1323817696941629440/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/pat7boy/status/1323817696941629440","PatBoy","","Trumpxit, Brexit, Yellow Vests :
The Western World going Rogue       

L'Ensauvagement de l'Occident",,FALSE,149,150,4,9372,7473,2017-01-31 10:37:13,FALSE,,,,"https://pbs.twimg.com/profile_banners/826378796823564288/1603440844",,"http://pbs.twimg.com/profile_images/835517858062819328/kqdj_1yA_normal.jpg"
"x830634844166225921","x1323817497980665858",2020-11-04 02:41:01,"622pm","Uh-oh, #Tillis turning into nail-biter!  Coke on, #NC!","Twitter for iPhone",54,"x1323815666575572992","x830634844166225921","622pm",FALSE,FALSE,0,0,,,"Tillis NC",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/622pm/status/1323817497980665858","<U+0001F30F><U+0001F308>622<U+0001F308><U+0001F30D>","Long Beach, CA","Staunchly independent #FBR #ClimateChangeIsReal #ThereIsNoPlanetB #BLM #MeToo #TrumpIsBatShitCrazy #VoteHimAway #Resist #LGBTQ",,FALSE,5152,5109,5,3924,3248,2017-02-12 04:29:14,FALSE,,,,"https://pbs.twimg.com/profile_banners/830634844166225921/1486939406",,"http://pbs.twimg.com/profile_images/1268273846118834176/dBQvhOAu_normal.jpg"
"x830634844166225921","x1323817321454956545",2020-11-04 02:40:19,"622pm","Spoke too soon?  #Tillis is a nail-biter!  Come on, #NC","Twitter for iPhone",55,"x1323813828652535809","x830634844166225921","622pm",FALSE,FALSE,2,0,,,"Tillis NC",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/622pm/status/1323817321454956545","<U+0001F30F><U+0001F308>622<U+0001F308><U+0001F30D>","Long Beach, CA","Staunchly independent #FBR #ClimateChangeIsReal #ThereIsNoPlanetB #BLM #MeToo #TrumpIsBatShitCrazy #VoteHimAway #Resist #LGBTQ",,FALSE,5152,5109,5,3924,3248,2017-02-12 04:29:14,FALSE,,,,"https://pbs.twimg.com/profile_banners/830634844166225921/1486939406",,"http://pbs.twimg.com/profile_images/1268273846118834176/dBQvhOAu_normal.jpg"
"x830634844166225921","x1323673072713437184",2020-11-03 17:07:07,"622pm","CONFIRMED

#DeJoy slowed #USPS in #Battleground areas #VoterSuppression 50-60% #Ballots

#Complicit #Criminals #Cheaters

#Tillis #NC #Perdue #Loeffler #GA #Cornyn #TX #Ernst #IA #Graham #SC #Lee #UT #Collins #ME #McSally #AZ #Gardner #CO #Sasse #NE #Murkowski #AK #HydeSmith #MS","Twitter for iPhone",279,,,,FALSE,FALSE,0,0,,,"DeJoy USPS Battleground VoterSuppression Ballots Complicit Criminals Cheaters Tillis NC Perdue Loeffler GA Cornyn TX Ernst IA Graham SC Lee UT Collins ME McSally AZ Gardner CO Sasse NE Murkowski AK HydeSmith MS",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/622pm/status/1323673072713437184","<U+0001F30F><U+0001F308>622<U+0001F308><U+0001F30D>","Long Beach, CA","Staunchly independent #FBR #ClimateChangeIsReal #ThereIsNoPlanetB #BLM #MeToo #TrumpIsBatShitCrazy #VoteHimAway #Resist #LGBTQ",,FALSE,5152,5109,5,3924,3248,2017-02-12 04:29:14,FALSE,,,,"https://pbs.twimg.com/profile_banners/830634844166225921/1486939406",,"http://pbs.twimg.com/profile_images/1268273846118834176/dBQvhOAu_normal.jpg"
"x830634844166225921","x1323671257036910592",2020-11-03 16:59:54,"622pm","#VoteOutTillis #Tillis #NC #VoteOutErnst #Ernst #Iowa #IA #VoteOutLoeffler #VoteOutPerdue #Georgia #GA #VoteOutGraham #SC #VoteOutCornyn #TX #VoteOutMcConnell #KY #VoteOutLee #UT #VoterSuppression #SerialKillers #Covid19 #Criminals #USPSSlowDown https://t.co/YRIxi5GLiB","Twitter for iPhone",245,,,,TRUE,FALSE,0,1,,,"VoteOutTillis Tillis NC VoteOutErnst Ernst Iowa IA VoteOutLoeffler VoteOutPerdue Georgia GA VoteOutGraham SC VoteOutCornyn TX VoteOutMcConnell KY VoteOutLee UT VoterSuppression SerialKillers Covid19 Criminals USPSSlowDown",,"twitter.com/eminem/status/…","https://t.co/YRIxi5GLiB","https://twitter.com/eminem/status/1323304002285654016",,,,,,,,,,,"und","x1323304002285654016","One opportunity... #Vote https://t.co/sCUhq4dvAN",2020-11-02 16:40:34,"Twitter Web App",110864,27610,"x22940219","Eminem","Marshall Mathers",22832284,0,1010,"Detroit","",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/622pm/status/1323671257036910592","<U+0001F30F><U+0001F308>622<U+0001F308><U+0001F30D>","Long Beach, CA","Staunchly independent #FBR #ClimateChangeIsReal #ThereIsNoPlanetB #BLM #MeToo #TrumpIsBatShitCrazy #VoteHimAway #Resist #LGBTQ",,FALSE,5152,5109,5,3924,3248,2017-02-12 04:29:14,FALSE,,,,"https://pbs.twimg.com/profile_banners/830634844166225921/1486939406",,"http://pbs.twimg.com/profile_images/1268273846118834176/dBQvhOAu_normal.jpg"
"x830634844166225921","x1323664719597559808",2020-11-03 16:33:56,"622pm","#NorthCarolina #NC 

50-60% of YOUR votes, #Republican &amp; #Democrat, are NOT being counted due to planned conspiracy by #Senator #Tillis &amp; #LouisDeJoy. 

#VoteOutTillis #TakeTillisJob #ChargeDeJoy #ChargeTillis","Twitter for iPhone",217,,,,FALSE,FALSE,1,0,,,"NorthCarolina NC Republican Democrat Senator Tillis LouisDeJoy VoteOutTillis TakeTillisJob ChargeDeJoy ChargeTillis",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/622pm/status/1323664719597559808","<U+0001F30F><U+0001F308>622<U+0001F308><U+0001F30D>","Long Beach, CA","Staunchly independent #FBR #ClimateChangeIsReal #ThereIsNoPlanetB #BLM #MeToo #TrumpIsBatShitCrazy #VoteHimAway #Resist #LGBTQ",,FALSE,5152,5109,5,3924,3248,2017-02-12 04:29:14,FALSE,,,,"https://pbs.twimg.com/profile_banners/830634844166225921/1486939406",,"http://pbs.twimg.com/profile_images/1268273846118834176/dBQvhOAu_normal.jpg"
