"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x17422976","x1323833186355417090",2020-11-04 03:43:21,"Pedlar7","#Tuberville and @JohnJamesMI are winning? Anyone?
#Election2020","Twitter Web App",63,,,,FALSE,FALSE,0,0,,,"Tuberville Election2020",,,,,,,,,,,,,"x861246117689925633","JohnJamesMI","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Pedlar7/status/1323833186355417090","RC","X","#ShaddowBanned by @Jack @Twitter since 2010 midterms.",,FALSE,2719,2003,175,53489,2166,2008-11-16 14:45:40,FALSE,,,,"https://pbs.twimg.com/profile_banners/17422976/1540712916","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1042401595055431681/ti2fJ_oe_normal.jpg"
"x192403967","x1323832499441729536",2020-11-04 03:40:38,"Lovellrich","Wonder if #Tuberville will be worse as a Senator than he was as a football coach","Twitter for iPhone",80,,,,FALSE,FALSE,0,0,,,"Tuberville",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Lovellrich/status/1323832499441729536","heyrichierich <U+0001F3F3><U+FE0F><U+200D><U+0001F308><U+0001F1FA><U+0001F1F8><U+0001F481><U+200D><U+2642><U+FE0F>","Cincinnati, OH","Idk.",,FALSE,145,425,3,3927,3261,2010-09-19 01:46:51,FALSE,,,,"https://pbs.twimg.com/profile_banners/192403967/1371413581","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1320188153270063109/qphln62O_normal.jpg"
"x2283303989","x1323832095312121857",2020-11-04 03:39:01,"SweatMissy","#Tuberville is a dipshit. How depressing #AL","Twitter for iPhone",44,,,,FALSE,FALSE,0,0,,,"Tuberville AL",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SweatMissy/status/1323832095312121857","crooked trumps","alabama","big brother fan since https://t.co/wkzOObYK1a my dog,auburn football win/lose &ky wildcat basketball)<U+2764><U+FE0F>reality challenge or competition shows.trump hating.bama girl.#resist",,FALSE,713,3339,12,35440,40489,2014-01-15 08:26:17,FALSE,,,,"https://pbs.twimg.com/profile_banners/2283303989/1389775857","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/963279774905806849/ZSwK3E0P_normal.jpg"
"x225437974","x1323831257172684801",2020-11-04 03:35:41,"i_B_Sarcastic","Bruh did #Tuberville win?!?!!!!","Twitter for iPhone",31,,,,FALSE,FALSE,0,0,,,"Tuberville",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/i_B_Sarcastic/status/1323831257172684801","Beonica D.","Tuscaloosa, AL RTR","I am who I am, I won't be changing for anyone #comfortableinmyownskin. If I want you to know about me you'll know <U+0001F609> UA Alum Roll Tide <U+0001F418>",,FALSE,402,596,0,16757,13687,2010-12-11 15:14:55,FALSE,,,,"https://pbs.twimg.com/profile_banners/225437974/1420362144","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1307393545356091392/IPL83NFF_normal.jpg"
"x24390355","x1323831138750705664",2020-11-04 03:35:13,"dehallman","Way to go coach #Tuberville 

Now, clean the swamp &amp; fully support our Potus! 

#wde #gotohellandgetajob #Alabama #Trump2020","Twitter for iPhone",128,,,,FALSE,FALSE,1,0,,,"Tuberville wde gotohellandgetajob Alabama Trump2020",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dehallman/status/1323831138750705664","Deanna Ezell Hallman, Realtor-All Four Real Estate","Jasper, AL","REALTOR®- Jasper, Smith Lake & the surrounding area. Honest and straight-forward approach, you never have to have to worry. Experience matters & so does service","https://t.co/Fb6u0wVu8E",FALSE,1290,1492,95,28690,14525,2009-03-14 16:24:18,FALSE,"https://t.co/Fb6u0wVu8E","http://www.deannahallman.com",,"https://pbs.twimg.com/profile_banners/24390355/1567194045","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1229298786326974467/oHzfowhz_normal.jpg"
"x367501055","x1323830941517840384",2020-11-04 03:34:26,"m4bama","What a joke. #Tuberville","Twitter for iPhone",24,,,,FALSE,FALSE,22,1,,,"Tuberville",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/m4bama/status/1323830941517840384","M <U+0001F418>","Alabama","Pass me a Diet Coke.","https://t.co/S7LM9ozK3j",FALSE,6494,6056,13,17823,41301,2011-09-04 02:29:57,FALSE,"https://t.co/S7LM9ozK3j","https://twitter.com/search/from:m4bama(Exclude:replies)",,"https://pbs.twimg.com/profile_banners/367501055/1599924532","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/1320236024660955136/6RaJNmCH_normal.jpg"
"x3362914971","x1323830557789376514",2020-11-04 03:32:55,"rooseveltFellow","#Tuberville unseats #Jones in #Alabama #Senate race #TheHill https://t.co/DOmb0gOfd3 https://t.co/oPTNf8e6NX","In-House App for rgovconsulting",84,,,,FALSE,FALSE,0,0,,,"Tuberville Jones Alabama Senate TheHill",,"smpt.co/vtBJH","https://t.co/DOmb0gOfd3","http://smpt.co/vtBJH","http://pbs.twimg.com/media/El8w4H5XIAY-Vj_.jpg","https://t.co/oPTNf8e6NX","https://twitter.com/rooseveltFellow/status/1323830557789376514/photo/1","photo","http://pbs.twimg.com/media/El8w4H5XIAY-Vj_.jpg","https://t.co/oPTNf8e6NX","https://twitter.com/rooseveltFellow/status/1323830557789376514/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rooseveltFellow/status/1323830557789376514","Adam Roosevelt","Arlington, VA","Serving the Homeland. Executive, Reagan Republican, and Military Veteran.","https://t.co/Vi00c1VapG",FALSE,1880,4085,20,12766,234,2015-07-06 19:51:34,FALSE,"https://t.co/Vi00c1VapG","http://www.sem.world",,"https://pbs.twimg.com/profile_banners/3362914971/1510449540","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1011385956128059392/7o11cZ4A_normal.jpg"
"x1154250308106641408","x1323830520061468673",2020-11-04 03:32:46,"mcclure_phil","#Tuberville https://t.co/9Ek0vby1zm","Twitter for Android",11,,,,FALSE,FALSE,0,0,,,"Tuberville",,,,,"http://pbs.twimg.com/tweet_video_thumb/El8w1p5VkAAlGgS.jpg","https://t.co/9Ek0vby1zm","https://twitter.com/mcclure_phil/status/1323830520061468673/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/El8w1p5VkAAlGgS.jpg","https://t.co/9Ek0vby1zm","https://twitter.com/mcclure_phil/status/1323830520061468673/photo/1",,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mcclure_phil/status/1323830520061468673","Phil McClure <U+0001F3B6>","Springfield, IL","Simpsons fan and passive observer",,FALSE,443,2701,1,2121,7785,2019-07-25 04:41:33,FALSE,,,,"https://pbs.twimg.com/profile_banners/1154250308106641408/1565933456",,"http://pbs.twimg.com/profile_images/1154250488017084416/jeZ4c53Q_normal.jpg"
"x733177123515535360","x1323829801904492546",2020-11-04 03:29:54,"WayneTrammell4","@katethegreat27 Birmingham Alabama #Tuberville is the guy","Twitter for iPhone",41,"x1323829204392304640","x24394900","katethegreat27",FALSE,FALSE,0,0,,,"Tuberville",,,,,,,,,,,,,"x24394900","katethegreat27","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/WayneTrammell4/status/1323829801904492546","Wayne Trammell","Sumiton, AL","just someone trying to make it in the<U+0001F30D> #wareagle  oh and #TRUMP2020",,FALSE,249,753,7,15188,17101,2016-05-19 06:07:02,FALSE,,,,"https://pbs.twimg.com/profile_banners/733177123515535360/1464398535",,"http://pbs.twimg.com/profile_images/1269708447878189056/R3FIgnZh_normal.jpg"
"x118728676","x1323829758837186561",2020-11-04 03:29:44,"rekaBacisseJ","I really didn’t expect #Tuberville to win because I never saw Alabama fans voting for a former Auburn coach. Color me shocked for reals.","Twitter for iPhone",136,,,,FALSE,FALSE,0,0,,,"Tuberville",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rekaBacisseJ/status/1323829758837186561","Jess","Los Angeles, CA","My life goal is to create a portmanteau that becomes super important in our daily lexicon. Alabama girl loving life in Los Angeles.","https://t.co/M5BsMygk9L",FALSE,218,794,15,9831,15370,2010-03-01 15:43:10,FALSE,"https://t.co/M5BsMygk9L","http://jessicanicolebaker.blogspot.com/",,"https://pbs.twimg.com/profile_banners/118728676/1568082431","http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/1112466244404297728/f66ucgBm_normal.jpg"
