"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1086880545844408323","x1321208782068862977",2020-10-27 21:54:55,"Capt8ball1","#UnqualifiedACB vs. #HealthCare4ThePeople https://t.co/QoXVw06PFI","Twitter for Android",41,,,,TRUE,FALSE,1,0,,,"UnqualifiedACB HealthCare4ThePeople",,"twitter.com/KamalaHarris/s…","https://t.co/QoXVw06PFI","https://twitter.com/KamalaHarris/status/1320880451385438208",,,,,,,,,,,"und","x1320880451385438208","Today Republicans denied the will of the American people by confirming a Supreme Court justice through an illegitimate process—all in their effort to gut the Affordable Care Act and strip health care from millions with pre-existing conditions.

We won’t forget this.",2020-10-27 00:10:15,"Twitter Web App",212504,38869,"x30354991","KamalaHarris","Kamala Harris",7204870,735,15120,"California","U.S. Senator and Democratic candidate for Vice President of the United States. Wife, Momala, Auntie. Fighting for the people. She/her.",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Capt8ball1/status/1321208782068862977","Capt8ball","United States","Just about done, but I’ll keep playing.  Sorry, no DM's.  Peace out, beetches!",,FALSE,5267,5657,5,54760,60242,2019-01-20 06:58:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/1086880545844408323/1555441868",,"http://pbs.twimg.com/profile_images/1114244374643314693/duSZPTar_normal.jpg"
"x1086880545844408323","x1321202749611134982",2020-10-27 21:30:56,"Capt8ball1","#UnqualifiedACB vs. #HealthCare4ThePeople #GOPBetrayedAmerica https://t.co/DlG12riqo9","Twitter for Android",61,,,,TRUE,FALSE,0,0,,,"UnqualifiedACB HealthCare4ThePeople GOPBetrayedAmerica",,"twitter.com/kirkacevedo/st…","https://t.co/DlG12riqo9","https://twitter.com/kirkacevedo/status/1321110068574654467",,,,,,,,,,,"und","x1321110068574654467","AMY CONEY BARRETT’S EXPERIENCE<U+0001F447><U+0001F3FD>

-NEVER TRIED A CASE
-NEVER ARGUED AN APPEAL 
-NEVER ARGUED BEFORE THE SUPREME COURT
-NEVER SERVED AS A JUDGE UNTIL 2017!!!

VOTE THEM ALL OUT!
 
#VoteThemOut 
#TuesdayMotivation
#TuesdayThoughts
#KidVicious<U+0001F44A><U+0001F3FD>",2020-10-27 15:22:40,"Twitter for iPhone",9126,3237,"x164060400","kirkacevedo","Kirk Acevedo<U+0001F1FA><U+0001F1F8>",184977,20574,20804,"Boogie Down Bronx <U+0001F1F5><U+0001F1F7>","Actor, PoliticalJunkie, Fuck James Dolan, Giants,Yankees, NYC Marathon Time 3:00:08 Boxing&MMA #TheResistance #PuertoRico<U+0001F1F5><U+0001F1F7> #KidVicious<U+0001F52A>",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Capt8ball1/status/1321202749611134982","Capt8ball","United States","Just about done, but I’ll keep playing.  Sorry, no DM's.  Peace out, beetches!",,FALSE,5267,5657,5,54760,60242,2019-01-20 06:58:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/1086880545844408323/1555441868",,"http://pbs.twimg.com/profile_images/1114244374643314693/duSZPTar_normal.jpg"
"x1086880545844408323","x1321202542148259844",2020-10-27 21:30:07,"Capt8ball1","#UnqualifiedACB #GOPBetrayedAmerica https://t.co/uZi7Y31uqe","Twitter for Android",35,,,,TRUE,FALSE,1,0,,,"UnqualifiedACB GOPBetrayedAmerica",,"twitter.com/lindyli/status…","https://t.co/uZi7Y31uqe","https://twitter.com/lindyli/status/1321129139701731328",,,,,,,,,,,"und","x1321129139701731328","When Senator @maziehirono voted “hell no” against Amy Coney Barrett, we felt that

She spoke for all of us

#VoteThemOut 
https://t.co/2GRFgWlFyc",2020-10-27 16:38:26,"Twitter for iPhone",4084,935,"x270132611","lindyli","Lindy Li",30668,191,7971,"Philadelphia, PA","@joebiden delegate. political contributor. @aacrfoundation trustee. @princeton alumni class president. runner <U+0001F3C3><U+0001F3FB><U+200D><U+2640><U+FE0F>",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Capt8ball1/status/1321202542148259844","Capt8ball","United States","Just about done, but I’ll keep playing.  Sorry, no DM's.  Peace out, beetches!",,FALSE,5267,5657,5,54760,60242,2019-01-20 06:58:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/1086880545844408323/1555441868",,"http://pbs.twimg.com/profile_images/1114244374643314693/duSZPTar_normal.jpg"
"x1086880545844408323","x1321195001003606017",2020-10-27 21:00:09,"Capt8ball1","#GOPBetrayedAmerica #UnqualifiedACB vs. #HealthCare4ThePeople https://t.co/eUegMEeayV","Twitter for Android",61,,,,TRUE,FALSE,1,1,,,"GOPBetrayedAmerica UnqualifiedACB HealthCare4ThePeople",,"twitter.com/AngelaL3191413…","https://t.co/eUegMEeayV","https://twitter.com/AngelaL31914133/status/1321140065486184454",,,,,,,,,,,"und","x1321140065486184454","Wow! The GOP is really just made up of a bunch of spoiled children! What an embarrassing tweet for them! https://t.co/M15bdoe81K",2020-10-27 17:21:51,"Twitter for iPhone",2,0,"x1111437967669821440","AngelaL31914133","URfoul!",11,23,1149,"United States","",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Capt8ball1/status/1321195001003606017","Capt8ball","United States","Just about done, but I’ll keep playing.  Sorry, no DM's.  Peace out, beetches!",,FALSE,5267,5657,5,54760,60242,2019-01-20 06:58:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/1086880545844408323/1555441868",,"http://pbs.twimg.com/profile_images/1114244374643314693/duSZPTar_normal.jpg"
"x1086880545844408323","x1321072022521290752",2020-10-27 12:51:29,"Capt8ball1","#UnqualifiedACB #SCOTUSHandmaid https://t.co/s8cZxkbswO","Twitter for Android",31,,,,TRUE,FALSE,1,0,,,"UnqualifiedACB SCOTUSHandmaid",,"twitter.com/wickedwone/sta…","https://t.co/s8cZxkbswO","https://twitter.com/wickedwone/status/1321071783613706240",,,,,,,,,,,"und","x1321071783613706240","https://t.co/fmywmaLCCb https://t.co/2yodRyAGvJ",2020-10-27 12:50:32,"Twitter for Android",2,0,"x206529413","wickedwone","wickedwone",17147,18861,174598,"Ontario, Canada","NO DM'S. Friend and supporter of anyone against Trump! #blacklivesmatter #RESIST be kind, you never know what someone is going through <U+0001F1E8><U+0001F1E6><U+0001F30A><U+0001F4A6><U+0001F4A7>",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Capt8ball1/status/1321072022521290752","Capt8ball","United States","Just about done, but I’ll keep playing.  Sorry, no DM's.  Peace out, beetches!",,FALSE,5267,5657,5,54760,60242,2019-01-20 06:58:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/1086880545844408323/1555441868",,"http://pbs.twimg.com/profile_images/1114244374643314693/duSZPTar_normal.jpg"
"x1086880545844408323","x1321071541694746624",2020-10-27 12:49:34,"Capt8ball1","#UnqualifiedACB https://t.co/OpLXkcWLVy","Twitter for Android",15,,,,TRUE,FALSE,2,0,,,"UnqualifiedACB",,"twitter.com/elle_desylva/s…","https://t.co/OpLXkcWLVy","https://twitter.com/elle_desylva/status/1321038892133302273",,,,,,,,,,,"und","x1321038892133302273","RBG was confirmed 96 to 3. 

Barrett barely scraped together a simple majority.

Things need to change.",2020-10-27 10:39:50,"Twitter for iPhone",1503,264,"x833224452787761152","elle_desylva","<U+0454>ll<U+0454> <U+2202><U+0454><U+0455><U+0443>l<U+03BD>a <U+0001F1E6><U+0001F1FA><U+0001F998><U+0001F30A><U+0001F637><U+2728>",68487,53569,102701,"Sydney, Australia","Australian <U+0001F1E6><U+0001F1FA> | Writer, editor, communications consultant | aka <U+043C>i<U+0455><U+0455> <U+0438><U+0443><U+0454><U+0442> t<U+044F><U+262D>mp | #VOTE | Wash ur hands, #WearAMask | #Resist <U+0001F44A><U+0001F3FB> | #BlackLivesMatter",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Capt8ball1/status/1321071541694746624","Capt8ball","United States","Just about done, but I’ll keep playing.  Sorry, no DM's.  Peace out, beetches!",,FALSE,5267,5657,5,54760,60242,2019-01-20 06:58:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/1086880545844408323/1555441868",,"http://pbs.twimg.com/profile_images/1114244374643314693/duSZPTar_normal.jpg"
"x1086880545844408323","x1320844874132852736",2020-10-26 21:48:52,"Capt8ball1","#UnqualifiedACB https://t.co/yztVCKXm7r","Twitter for Android",15,,,,TRUE,FALSE,0,0,,,"UnqualifiedACB",,"twitter.com/JHB58657540/st…","https://t.co/yztVCKXm7r","https://twitter.com/JHB58657540/status/1320598262626373633",,,,,,,,,,,"und","x1320598262626373633","LateNite #FBRPARTY <U+0001F30A>

@SherrieAtkins12 
@20204Democracy 
@jw_worth 
@lmnopGregory 
@m64mcbride
@OtherShipp 
@NthnGd4  
@MKerklin 
@KWehsner
@gerryamurphy 
@Rlcollins69 
@SweGringo 
@TyshaunQuickse6 
@gene_leis 
@JWesleyBell 
@Thisismyjobsite 
@rx_key 
@GymKlieber 
@czarim1 https://t.co/PR525gWQhq",2020-10-26 05:28:55,"Twitter Web App",19,11,"x1278523076926476289","JHB58657540","JHB - Call me Jay, I'm just an Ol' fucker",1937,1763,8046,"FloREDuh disabled retiree ","Yanks, Jints, Blueshirts, Canes

Followers: @LIZ4TX8 @Alex_Verbeek @RCdeWinter @jimmacpam @EJinAction

#BLM
#FBR
#MarchForOurLives
#BidenHarris2020  
#UniteBlue",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Capt8ball1/status/1320844874132852736","Capt8ball","United States","Just about done, but I’ll keep playing.  Sorry, no DM's.  Peace out, beetches!",,FALSE,5267,5657,5,54760,60242,2019-01-20 06:58:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/1086880545844408323/1555441868",,"http://pbs.twimg.com/profile_images/1114244374643314693/duSZPTar_normal.jpg"
"x1086880545844408323","x1320903292818542593",2020-10-27 01:41:00,"Capt8ball1","#UnqualifiedACB #SCOTUSHandmaid https://t.co/udlLVRrXQ4","Twitter for Android",31,,,,TRUE,FALSE,0,0,,,"UnqualifiedACB SCOTUSHandmaid",,"twitter.com/CupcakesForYou…","https://t.co/udlLVRrXQ4","https://twitter.com/CupcakesForYou7/status/1320899005837180928",,,,,,,,,,,"und","x1320899005837180928","Monday Mourning... @mick_inLa   @Persiflage77 @AlexaNielsen6 @Fix8d2020 @gschell3 @CupcakesForYou7 @BreaultCrow @cartel_trump @Kimba_Maria_NYC @1strongrobin @JTornesi @MariaPerera10 @thom_yates @Kelleyrose20 @DrMcKinn @sonoranbran @BrandiTexaslive  @grayzpoo @DevinsCowsDog https://t.co/f1uXFtENly",2020-10-27 01:23:58,"Twitter for iPhone",155,64,"x2230411180","CupcakesForYou7","Adina Conn (Twitmo 11/4)",13449,12594,8525,"","Issues Crisis Mgt, PR Expert, Healthcare & Veteran’s Advocate, #LifelongDemocrat, Interviewer. Let’s make some good trouble! <U+0001F6AB>GOP. NO solicitations",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Capt8ball1/status/1320903292818542593","Capt8ball","United States","Just about done, but I’ll keep playing.  Sorry, no DM's.  Peace out, beetches!",,FALSE,5267,5657,5,54760,60242,2019-01-20 06:58:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/1086880545844408323/1555441868",,"http://pbs.twimg.com/profile_images/1114244374643314693/duSZPTar_normal.jpg"
"x1086880545844408323","x1320845484941037573",2020-10-26 21:51:18,"Capt8ball1","@JHB58657540 @czarim1 @SherrieAtkins12 @20204Democracy @jw_worth @lmnopGregory @m64mcbride @OtherShipp @NthnGd4 @MKerklin @KWehsner @gerryamurphy @Rlcollins69 @SweGringo @TyshaunQuickse6 @gene_leis @JWesleyBell @Thisismyjobsite @rx_key @GymKlieber #FBR #UnqualifiedACB vs. #HealthCare4ThePeople https://t.co/oc3fSydncf","Twitter for Android",46,"x1320598262626373633","x1278523076926476289","JHB58657540",FALSE,FALSE,16,6,,,"FBR UnqualifiedACB HealthCare4ThePeople",,,,,"http://pbs.twimg.com/media/ElSV99fXYAEHUL_.jpg","https://t.co/oc3fSydncf","https://twitter.com/Capt8ball1/status/1320845484941037573/photo/1","photo","http://pbs.twimg.com/media/ElSV99fXYAEHUL_.jpg","https://t.co/oc3fSydncf","https://twitter.com/Capt8ball1/status/1320845484941037573/photo/1",,"x1278523076926476289 x1223404718828945413 x4256483473 x438612288 x914646224 x211319786 x892273700 x2811612279 x1272706401220132864 x1268383336583401472 x1237963845509033984 x1286881598 x1258818747688792066 x779333699108278272 x1316370765126787074 x4061092694 x1186475654784716800 x388353281 x1260995225251729409 x791369529817378817","JHB58657540 czarim1 SherrieAtkins12 20204Democracy jw_worth lmnopGregory m64mcbride OtherShipp NthnGd4 MKerklin KWehsner gerryamurphy Rlcollins69 SweGringo TyshaunQuickse6 gene_leis JWesleyBell Thisismyjobsite rx_key GymKlieber","und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Capt8ball1/status/1320845484941037573","Capt8ball","United States","Just about done, but I’ll keep playing.  Sorry, no DM's.  Peace out, beetches!",,FALSE,5267,5657,5,54760,60242,2019-01-20 06:58:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/1086880545844408323/1555441868",,"http://pbs.twimg.com/profile_images/1114244374643314693/duSZPTar_normal.jpg"
"x117189870","x1321099515445690368",2020-10-27 14:40:43,"BlockMeNoBlockU","I'm going with #UnqualifiedACB https://t.co/zOoEc0aYl7","Twitter Web App",30,,,,TRUE,FALSE,0,0,,,"UnqualifiedACB",,"twitter.com/JustAGirl515/s…","https://t.co/zOoEc0aYl7","https://twitter.com/JustAGirl515/status/1321094323757326338",,,,,,,,,,,"en","x1321094323757326338","Fine if y’all gonna keep using “ACB” instead of her whole name you better take it all way. We had #NotoriousRBG. Now we have Feckless ACB. Craven ACB. Illegitimate ACB. Handmaid ACB. Insidious ACB. Unqualified ACB. Reprobate ACB. Abbreviate if you wish but at least do it right.",2020-10-27 14:20:06,"Twitter for iPhone",42,8,"x25242262","JustAGirl515","Ashleigh <U+0001F9B9><U+0001F3FB><U+200D><U+2640><U+FE0F>",6555,1039,18140,"The Bad Place ","I have opinions. I talk a lot. You probably shouldn’t follow me.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BlockMeNoBlockU/status/1321099515445690368","Ukrainian Minister of Favors","Gehenna","Full time dilettante. Amateur brain surgeon. I also speak a little English. Be calm when the unthinkable arrives.
https://t.co/srzvMENR3b…",,FALSE,296,311,0,14288,42273,2010-02-24 20:44:19,FALSE,,,,"https://pbs.twimg.com/profile_banners/117189870/1570108359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1179746077748056065/XPqltsM7_normal.jpg"
