"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x830634844166225921","x1323683570355855360",2020-11-03 17:48:50,"622pm","#VoteOutJoniErnst #Iowa #IA

#VoteOutJoniErnst #Iowa #IA

#VoteOutJoniErnst #Iowa #IA

#VoteOutJoniErnst #Iowa #IA

#VoteOutJoniErnst #Iowa #IA

#VoteOutJoniErnst #Iowa #IA

#VoteOutJoniErnst #Iowa #IA

#VoteOutJoniErnst #Iowa #IA

#VoteOutJoniErnst #Iowa #IA

#VoteOutJoniErnst","Twitter for iPhone",278,,,,FALSE,FALSE,0,0,,,"VoteOutJoniErnst Iowa IA VoteOutJoniErnst Iowa IA VoteOutJoniErnst Iowa IA VoteOutJoniErnst Iowa IA VoteOutJoniErnst Iowa IA VoteOutJoniErnst Iowa IA VoteOutJoniErnst Iowa IA VoteOutJoniErnst Iowa IA VoteOutJoniErnst Iowa IA VoteOutJoniErnst",,,,,,,,,,,,,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/622pm/status/1323683570355855360","<U+0001F30F><U+0001F308>622<U+0001F308><U+0001F30D>","Long Beach, CA","Staunchly independent #FBR #ClimateChangeIsReal #ThereIsNoPlanetB #BLM #MeToo #TrumpIsBatShitCrazy #VoteHimAway #Resist #LGBTQ",,FALSE,5152,5109,5,3924,3248,2017-02-12 04:29:14,FALSE,,,,"https://pbs.twimg.com/profile_banners/830634844166225921/1486939406",,"http://pbs.twimg.com/profile_images/1268273846118834176/dBQvhOAu_normal.jpg"
"x830634844166225921","x1323668138773262336",2020-11-03 16:47:31,"622pm","#VoteOutJoniErnst #VoteOutErnst #Iowa #IA #JoniKnew #Covid19 #JoniKnew #230KDead #JoniKnew #USPSSlowdown #JoniKnew #VoterSuppression #JoniErnstIsIowasShame","Twitter for iPhone",155,,,,FALSE,FALSE,0,0,,,"VoteOutJoniErnst VoteOutErnst Iowa IA JoniKnew Covid19 JoniKnew 230KDead JoniKnew USPSSlowdown JoniKnew VoterSuppression JoniErnstIsIowasShame",,,,,,,,,,,,,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/622pm/status/1323668138773262336","<U+0001F30F><U+0001F308>622<U+0001F308><U+0001F30D>","Long Beach, CA","Staunchly independent #FBR #ClimateChangeIsReal #ThereIsNoPlanetB #BLM #MeToo #TrumpIsBatShitCrazy #VoteHimAway #Resist #LGBTQ",,FALSE,5152,5109,5,3924,3248,2017-02-12 04:29:14,FALSE,,,,"https://pbs.twimg.com/profile_banners/830634844166225921/1486939406",,"http://pbs.twimg.com/profile_images/1268273846118834176/dBQvhOAu_normal.jpg"
"x1124087157445005312","x1323668626168307714",2020-11-03 16:49:27,"chillybt","#VoteOutJoniErnst #VoteOutErnst #Iowa #IA #JoniKnew #Covid19 #JoniKnew #230KDead #JoniKnew #USPSSlowdown #JoniKnew #VoterSuppression #JoniErnstIsIowasShame","Twitter Web App",155,,,,FALSE,FALSE,0,0,,,"VoteOutJoniErnst VoteOutErnst Iowa IA JoniKnew Covid19 JoniKnew 230KDead JoniKnew USPSSlowdown JoniKnew VoterSuppression JoniErnstIsIowasShame",,,,,,,,,,,,,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/chillybt/status/1323668626168307714","Barry #VetsAgainstTrump","","<U+0001F51C><U+0001F30A><U+0001F30A><U+0001F30A><U+203C><U+FE0F><U+0001F198><U+262E><U+FE0F> NO DM’ USMC Vet Minimalist My Intractable pain is defeating me #PTSD #BLM #NotMyPresident #FuckTrump #VetsResist @DAVHQ #MaskUp #ChronicPain @tcm",,FALSE,3844,3844,4,12968,14617,2019-05-02 23:03:57,FALSE,,,,"https://pbs.twimg.com/profile_banners/1124087157445005312/1572906326",,"http://pbs.twimg.com/profile_images/1191418090954907649/ei1w_WfP_normal.png"
"x1010694648845754368","x1323644188852998151",2020-11-03 15:12:21,"SandyBurrell7","#VoteOutJoniErnst  #SenateBlueWaveDay #VoteTheresaGreenfieldForIowa https://t.co/AXlEBOIVxk","Twitter for iPad",67,,,,TRUE,FALSE,0,0,,,"VoteOutJoniErnst SenateBlueWaveDay VoteTheresaGreenfieldForIowa",,"twitter.com/lalaej/status/…","https://t.co/AXlEBOIVxk","https://twitter.com/lalaej/status/1323492688726032384",,,,,,,,,,,"und","x1323492688726032384","It’s tied 50-50! Help get out the message!

Donate to @GreenfieldIowa https://t.co/VPcl4Xy8k4

#wtpSenate
#wtpBlue
#wtpGOTV
#DemVoice1",2020-11-03 05:10:20,"Twitter for iPhone",73,57,"x25773567","Lalaej","Having Said That <U+0001F5E3>",11167,9952,133572,"Santa Barbara, CA","Snitty Political strategist. Retired teacher, I <U+2764><U+FE0F>reading, writing, & art. #wtp2020 NO DMs! Resist<U+0001F30A> <U+0001F1FA><U+0001F1F8>TeamPelosi AB #DemVoice1 B,C",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SandyBurrell7/status/1323644188852998151","Sandy Burrell","United States","wants Trump in prison, believes “liberty & justice for all”, in science not quackery, Karma.",,FALSE,237,210,0,45851,65569,2018-06-24 01:22:36,FALSE,,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x1010694648845754368","x1321262500055306241",2020-10-28 01:28:22,"SandyBurrell7","#VoteOutJoniErnst  Iowa, vote for someone who knows the price of corn &amp; soybeans. #VoteTheresaGreenfield https://t.co/YnEIt20ZGV","Twitter for iPad",108,,,,TRUE,FALSE,0,0,,,"VoteOutJoniErnst VoteTheresaGreenfield",,"twitter.com/scarletavenger…","https://t.co/YnEIt20ZGV","https://twitter.com/scarletavengers/status/1321209766342021120",,,,,,,,,,,"en","x1321209766342021120","@GreenfieldIowa ‘s closing ad for #IASen

For 6 years Joni Ernst followed #MoscowMitch &amp; his orders, and for the last 4, she marched in lockstep w/trump in his trade war w/China that has hurt our farmers the most!

#VOTE for Theresa. She will never let you down

#LetsGo #Iowa<U+270A><U+0001F3FC><U+0001F1FA><U+0001F1F8> https://t.co/YHpldjwcE9",2020-10-27 21:58:49,"Twitter for iPhone",141,73,"x885964768338747392","ScarletAvengers","Scarlet <U+0001F525>The Fiery Avenger<U+0001F525>#IVotedInPerson<U+0001F5F3><U+0001F1FA><U+0001F1F8>",31122,9301,54219,"#BlueWave2020<U+0001F3C4><U+200D><U+2640><U+FE0F><U+0001F3C4><U+0001F3FD><U+200D><U+2642><U+FE0F>","#ELECTIONDAY — Today we take back our country<U+2665><U+FE0F><U+0001F1FA><U+0001F1F8><U+2665><U+FE0F> We took back the House in #2018<U+0001F525>The #BlueWave is back<U+0001F525>Today we take back the #WH and the #Senate <U+0001F525>#VOTE",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SandyBurrell7/status/1321262500055306241","Sandy Burrell","United States","wants Trump in prison, believes “liberty & justice for all”, in science not quackery, Karma.",,FALSE,237,210,0,45851,65569,2018-06-24 01:22:36,FALSE,,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x1224412787121754117","x1323426852132786176",2020-11-03 00:48:44,"CBluesDC","@IvankaTrump @realDonaldTrump @SenJoniErnst @IAGovernor @ChuckGrassley Another #HatchActViolation #NepotismBarbie #GrifterBarbie #VoteOutEveryRepublican #TrumpCrimeFamily #TrumpIsANationalSecurityThreat #VoteOutEveryRepublican #FlipTheSenateBlue #VoteOutJoniErnst #JoniErnstMustGo #TheresaGreenfieldIA #VOTE #IASen for .@GreenfieldIowa","Twitter Web App",264,"x1323424027516481536","x52544275","IvankaTrump",FALSE,FALSE,0,0,,,"HatchActViolation NepotismBarbie GrifterBarbie VoteOutEveryRepublican TrumpCrimeFamily TrumpIsANationalSecurityThreat VoteOutEveryRepublican FlipTheSenateBlue VoteOutJoniErnst JoniErnstMustGo TheresaGreenfieldIA VOTE IASen",,,,,,,,,,,,,"x52544275 x25073877 x2856787757 x851808935397011456 x10615232 x875025043130068992","IvankaTrump realDonaldTrump SenJoniErnst IAGovernor ChuckGrassley GreenfieldIowa","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CBluesDC/status/1323426852132786176","©arolBlues @ <U+0001F3E1> <U+0001F3B6>","Washington, DC / MD / VA","No one is above the law. 
#StayHome   Wash your hands<U+0001F9FC>  Wear a mask <U+0001F637>  Musician, Human Rights, & cats",,FALSE,612,2272,0,71620,114305,2020-02-03 19:22:36,FALSE,,,,"https://pbs.twimg.com/profile_banners/1224412787121754117/1580759446",,"http://pbs.twimg.com/profile_images/1228415773338750977/QxyxA5mt_normal.jpg"
"x1224412787121754117","x1323399251133669377",2020-11-02 22:59:03,"CBluesDC","#BoycottAmericanAir #VoteOutJoniErnst #JoniErnstMustGo #TheresaGreenfieldIA #IASen #VoteOutEveryRepublican #BidenHarris2020 #VOTE #BoycottJPMorgan #BoycottMotorolla #BoycottStateFarm #BoycottExperion #BoycottDell #BoycottKPMG #BoycottBoozAllen #BoycottKSLAW #FlipTheSenateBlue https://t.co/9NzIDom9QV","Twitter Web App",276,,,,TRUE,FALSE,0,0,,,"BoycottAmericanAir VoteOutJoniErnst JoniErnstMustGo TheresaGreenfieldIA IASen VoteOutEveryRepublican BidenHarris2020 VOTE BoycottJPMorgan BoycottMotorolla BoycottStateFarm BoycottExperion BoycottDell BoycottKPMG BoycottBoozAllen BoycottKSLAW FlipTheSenateBlue",,"twitter.com/JuddLegum/stat…","https://t.co/9NzIDom9QV","https://twitter.com/JuddLegum/status/1323275524614049794",,,,,,,,,,,"und","x1323275524614049794","5. Last-minute corporate contributions to @joniernst 

@KPMG (5K, 10/30)
@Dell (4K, 10/30)
@JPMorgan (4K, 10/30)
@MotorolaUS (3K, 10/30)
@StateFarm (1.5K, 10/30)
@Experian_US (5K, 10/29)
@kslaw [King &amp; Spalding] (2.5K, 10/29)
@BoozAllen (1K, 10/29)
@AmericanAir (4K, 10/27)",2020-11-02 14:47:24,"TweetDeck",1671,1062,"x15464697","JuddLegum","Judd Legum",449746,1343,60101,"Washington, DC","I write Popular Information, a newsletter about politics and power. 

Send tips: DMs open | judd@popular.info |  jlegum@protonmail.com",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CBluesDC/status/1323399251133669377","©arolBlues @ <U+0001F3E1> <U+0001F3B6>","Washington, DC / MD / VA","No one is above the law. 
#StayHome   Wash your hands<U+0001F9FC>  Wear a mask <U+0001F637>  Musician, Human Rights, & cats",,FALSE,612,2272,0,71620,114305,2020-02-03 19:22:36,FALSE,,,,"https://pbs.twimg.com/profile_banners/1224412787121754117/1580759446",,"http://pbs.twimg.com/profile_images/1228415773338750977/QxyxA5mt_normal.jpg"
"x1224412787121754117","x1320862451148181512",2020-10-26 22:58:43,"CBluesDC","@SenJoniErnst #TheresaGreenfieldIA #VoteBidenHarris2020 #VoteBlueToSaveAmerica #VoteBidenHarrisToSaveAmerica #VoteBidenHarris #VoteBiden #BlockBarrett #MerrickGarland #VoteOutJoniErnst #JoniErnstMustGo #IASen #VOTE #VoteBlueDownBallot #FlipTheSenateBlue #GOPComplicitTraitors #GOPDeathCult","Twitter Web App",275,"x1320758410279870465","x2856787757","SenJoniErnst",FALSE,FALSE,1,0,,,"TheresaGreenfieldIA VoteBidenHarris2020 VoteBlueToSaveAmerica VoteBidenHarrisToSaveAmerica VoteBidenHarris VoteBiden BlockBarrett MerrickGarland VoteOutJoniErnst JoniErnstMustGo IASen VOTE VoteBlueDownBallot FlipTheSenateBlue GOPComplicitTraitors GOPDeathCult",,,,,,,,,,,,,"x2856787757","SenJoniErnst","und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CBluesDC/status/1320862451148181512","©arolBlues @ <U+0001F3E1> <U+0001F3B6>","Washington, DC / MD / VA","No one is above the law. 
#StayHome   Wash your hands<U+0001F9FC>  Wear a mask <U+0001F637>  Musician, Human Rights, & cats",,FALSE,612,2272,0,71620,114305,2020-02-03 19:22:36,FALSE,,,,"https://pbs.twimg.com/profile_banners/1224412787121754117/1580759446",,"http://pbs.twimg.com/profile_images/1228415773338750977/QxyxA5mt_normal.jpg"
"x1224412787121754117","x1321594511341092865",2020-10-28 23:27:40,"CBluesDC","@joniernst Just donated again to .@GreenfieldIowa #GreenfieldForIA #IASen #VoteOutJoniErnst #JoniErnstBetrayedAmerica #VoteOutEveryRepublican #CorruptGOP #Iowa #VoteBlueDownBallot #FlipTheSenateBlue #TheresaGreenfield","Twitter Web App",206,"x1321581875777937410","x1383059977","joniernst",FALSE,FALSE,3,1,,,"GreenfieldForIA IASen VoteOutJoniErnst JoniErnstBetrayedAmerica VoteOutEveryRepublican CorruptGOP Iowa VoteBlueDownBallot FlipTheSenateBlue TheresaGreenfield",,,,,,,,,,,,,"x1383059977 x875025043130068992","joniernst GreenfieldIowa","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CBluesDC/status/1321594511341092865","©arolBlues @ <U+0001F3E1> <U+0001F3B6>","Washington, DC / MD / VA","No one is above the law. 
#StayHome   Wash your hands<U+0001F9FC>  Wear a mask <U+0001F637>  Musician, Human Rights, & cats",,FALSE,612,2272,0,71620,114305,2020-02-03 19:22:36,FALSE,,,,"https://pbs.twimg.com/profile_banners/1224412787121754117/1580759446",,"http://pbs.twimg.com/profile_images/1228415773338750977/QxyxA5mt_normal.jpg"
"x1224412787121754117","x1323403913945620481",2020-11-02 23:17:35,"CBluesDC","@SenJoniErnst @ICDowntown You’re a fraud who’s taken tons of dark money from corporations. #VoteOutJoniErnst #JoniErnstMustGo #VoteOutEveryRepublican #CorruptGOP #PutinsGOP #FlipTheSenateBlue #BidenHarris2020 #VoteBidenHarris #TheresaGreenfieldForIA #IASen #Iowa #VOTE","Twitter Web App",242,"x1321808330734604288","x2856787757","SenJoniErnst",FALSE,FALSE,0,0,,,"VoteOutJoniErnst JoniErnstMustGo VoteOutEveryRepublican CorruptGOP PutinsGOP FlipTheSenateBlue BidenHarris2020 VoteBidenHarris TheresaGreenfieldForIA IASen Iowa VOTE",,,,,,,,,,,,,"x2856787757 x132979941","SenJoniErnst ICDowntown","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CBluesDC/status/1323403913945620481","©arolBlues @ <U+0001F3E1> <U+0001F3B6>","Washington, DC / MD / VA","No one is above the law. 
#StayHome   Wash your hands<U+0001F9FC>  Wear a mask <U+0001F637>  Musician, Human Rights, & cats",,FALSE,612,2272,0,71620,114305,2020-02-03 19:22:36,FALSE,,,,"https://pbs.twimg.com/profile_banners/1224412787121754117/1580759446",,"http://pbs.twimg.com/profile_images/1228415773338750977/QxyxA5mt_normal.jpg"
